"","Pop","MeanLong","MeanLat","Dist_To_Edge","Col"
"1","31",-66.0649746336957,46.569220751087,95.8269211492781,"NA"
"2","568",-67.6986839090909,46.6681342909091,109.816456592915,"NA"
"3","1014",-65.6398623214286,45.7310288482143,160.88804747352,"NA"
"4","7917",-67.6512319607843,46.0501162745098,113.189523876528,"NA"
"5","9101113a",-66.4238415678414,45.8714787837004,168.257589234407,"NA"
"6","9101113b",-66.7397802674603,45.9914942103175,159.792522117724,"NA"
"7","151",-78.5248268875,44.6047330833333,195.485004986654,"NA"
"8","170",-77.08350133,45.393930585,135.204899534835,"NA"
"9","125147",-79.3679764422857,44.138199862,212.160863844346,"NA"
"10","126147",-80.0771267261818,43.9994095887273,197.688920554315,"NA"
"11","171188",-75.512821814918,45.032319587377,184.384041433476,"NA"
"12","APA12PACb",-79.2504961666667,41.6377319701754,467.809432816685,"NA"
"13","BV",-85.9110113727941,35.9065582014706,286.574737487567,"NA"
"14","BVT",-73.0012628428571,44.4450498619048,261.743237693451,"NA"
"15","BVTGMVT2",-72.6936191454545,44.0359461757576,273.456693784883,"NA"
"16","CNF",-88.6261559259259,45.4715859259259,170.138713583623,"NA"
"17","FKN",-79.3791539928571,38.5823257428571,353.111772538073,"NA"
"18","GMVT1",-72.5503429619048,42.9882235190476,236.843336592764,"NA"
"19","MC",-86.1150879196721,37.1969432459016,430.003796290988,"NA"
"20","OZ12",-91.3333576619835,37.0544802884298,223.857925503691,"NA"
"21","SFNF12",-90.6663629566667,34.64848319,102.431629860499,"NA"
"22","WHWI",-88.8316948461539,42.8305764615385,378.490651046533,"NA"
"23","WWI",-89.1115657222222,44.5454861666667,276.391563150901,"NA"
"24","VSH123",-78.5184912954545,38.3586704818182,274.006911897022,"NA"
