id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references
12791584,TROY,,,PreservedSpecimen,TROY000006386,TROY000006386,,Plantae,Magnoliophyta,,Fagales,JUGLANDACEAE,Juglans cinerea,47156,L.,Juglans,cinerea,,,,,,,,,,Robert Kral,,94648,10/25/2003,2003,10,25,298,,10/25/2003,,"Sandy mesic ravine, upper slope.",,,,,,,,Vegetative,,,,,,,United States,Alabama,Russell,,"By AL 51, 10 mi. North of Hurtsboro.",,0,,32.382554,-85.379431,,,,,,,,,162,,,,,531Feet,,,,12/9/2019 16:50,TROY000006386,322,urn:uuid:62506427-82f0-4cfc-8131-0751f9a08e96,http://sernecportal.org/portal/collections/individual/index.php?occid=12791584
6361575,MMNS,,,PreservedSpecimen,MMNS021248,MMNS021248,21248,Plantae,Magnoliophyta,,Fagales,Juglandaceae,Juglans cinerea,47156,L.,Juglans,cinerea,,,,,,,,,,Charles T. Bryson,,8075,6/15/1988,1988,6,15,167,,6/15/1988,,rich calcareous ravines drained by Ballground Creek; deciduous forest; Loess Bluff Region; Tree ca. 25 ft. high; 2 trees at top of bluff,,,,,,,,veg,,,,,,,United States,Mississippi,Warren,,ca. 4.5 mi. NE Redwood,,0,,32.52361111,-90.75444444,,,T8N R5W S19 SE/4,,,,,,,,,,,,,,MAWM,12/9/2019 16:50,21248,222,urn:uuid:ed0920d0-bed9-47a9-9ed1-ff0156adb2be,http://sernecportal.org/portal/collections/individual/index.php?occid=6361575
6351753,MMNS,,,PreservedSpecimen,MMNS011307,MMNS011307,11307,Plantae,Magnoliophyta,,Fagales,Juglandaceae,Juglans cinerea,47156,L.,Juglans,cinerea,,,,,,,,,,M. Wayne Morris,,3038,9/10/1987,1987,9,10,253,,9/10/1987,,50 ft tree near the base of a N-facing slope in rich deciduous woods on the S side of Cane Creek; five other trees present,,,,,,,,veg,,,,,,,United States,Mississippi,Grenada,,"ca 2 mi S of Holcomb, Loess Bluffs Region",Cane Creek Bluffs (East),0,,33.73222,-89.96611111,,,"T22N, R3E, S34, NE4",,,,,,,,,,,,,,,12/9/2019 16:50,11307,222,urn:uuid:984d9a0e-bbad-4e4f-a11b-e348b30f3452,http://sernecportal.org/portal/collections/individual/index.php?occid=6351753
6351722,MMNS,,,PreservedSpecimen,MMNS011276,MMNS011276,11276,Plantae,Magnoliophyta,,Fagales,Juglandaceae,Juglans cinerea,47156,L.,Juglans,cinerea,,,,,,,,,,M. Wayne Morris,,2006,6/6/1986,1986,6,6,157,,6/6/1986,334356N 0895758W,near base of N-facing slope in rich deciduous woods; one tree found ca 50'; lower limbs appear to be somewhat diseased; 5 other trees found in close,,,,,,,,veg,,,,,,,United States,Mississippi,Grenada,,"ca 2 mi S of Holcomb, Loess Bluffs; S side of Cane Cr.",Cane Creek Bluffs (East),0,,33.73222222,-89.96611111,,,T22N R3E S34 E2,,,,,,,,,,,,,,LM,12/9/2019 16:50,11276,222,urn:uuid:92dbce97-d41a-4d45-a26e-3e03ebee3041,http://sernecportal.org/portal/collections/individual/index.php?occid=6351722
6370103,MMNS,,,PreservedSpecimen,MMNS029807,MMNS029807,29807,Plantae,Magnoliophyta,,Fagales,Juglandaceae,Juglans cinerea,47156,L.,Juglans,cinerea,,,,,,,,,,P.J. Barbour,,7891,3/12/1995,1995,3,12,71,,3/12/1995,,"Bridge abutment, growing amongst riprap",,,,,,,,veg,,,,,,,United States,Mississippi,Grenada,,"Cane Creek NE of Holcomb via MS35; E side of highway, S side of creek, ~1/4 mile E of bridge along edge of woods/creek interface; bark samples from rare trees to 8 m tall;",,0,,33.73325,-89.96927,WGS84,100,"T22N R3E, sec 22",heathers (2017-01-17 14:07:20),,georef batch tool 2017-01-17,reviewed - high confidence,,,,,,,,,,JAH,12/9/2019 16:50,29807,222,urn:uuid:8d47982d-70e1-4d85-a560-cec686d89acc,http://sernecportal.org/portal/collections/individual/index.php?occid=6370103
16807390,UA,UNA,,S,{DC65482C-1FE3-4EB5-822E-C61D08D150DE},UNA00058161,,Plantae,Magnoliophyta,,Fagales,Juglandaceae,Juglans cinerea,47156,L.,Juglans,cinerea,,,,0000/00/00,,,,,,Brian R. Keener,,799,5/16/1998,1998,5,16,136,,5/16/1998,Dry calcareous on SE facing slope of Red Mountain. | Fruits Present,,,,,,,,,,,0,,,,,United States,Alabama,Blount,,"4 mi SE of Locust Fork. Hendrick Mill. Off of Co. Rd. 15, 1.5 mi. N of jct. with AL 75. T13S R1E S29",,0,,33.88028,-86.56778,,,"33.88028, -86.56778",,,,,,,,,,,,,,,7/12/2002 17:17,UNA00058161,286,urn:uuid:c7f78e6b-60b0-41e5-b148-01c2db3bcb32,http://sernecportal.org/portal/collections/individual/index.php?occid=16807390
19369913,USF,Herb,,PreservedSpecimen,773CA4B7-DB32-47D4-B5AB-D9482D6A79AC,234717,,Plantae,Magnoliophyta,,Fagales,Juglandaceae,Juglans cinerea,47156,L.,Juglans,cinerea,,,,,,,,,,B. R. Keener,,799,5/16/1998,1998,5,16,136,,5/16/1998,,Dry calcareous on slope.,,,,,,,,,,,,,,,United States,Alabama,Blount Co.,,"SE facing slope of Red Mountain; 4 air mi. SE of Locust Fork; Hendrick Mill; off of C-15, 1.5 mi. N of junction with AL 75. T13S, R1E, Sec. 29.",,0,,33.8803,-86.5678,,,,,,,,,,,,,,,,en,,12/9/2019 16:50,773CA4B7-DB32-47D4-B5AB-D9482D6A79AC,382,urn:uuid:63ad756c-2203-4074-a952-66af2316e549,http://sernecportal.org/portal/collections/individual/index.php?occid=19369913
16807389,UA,UNA,,S,{B98FD2B5-1272-4423-8550-69509DDCB550},UNA00031936,,Plantae,Magnoliophyta,,Fagales,Juglandaceae,Juglans cinerea,47156,L.,Juglans,cinerea,,,Ross C. Clark,1969/00/00,,,,,,C. B. Segars | A. M. Harvill & C. B. Segars #,,43,7/3/1949,1949,7,3,184,,7/3/1949,rocky soil,,,,,,,,,,,0,,,,,United States,Alabama,Blount,,75-100 yds. north of upper springs at Blount Springs,,0,,33.92972,-86.7925,,,"33.92972, -86.79250",,,,,,,,,,,,,,,1000-01-01 01:00:00,UNA00031936,286,urn:uuid:821aad00-bb30-439d-adc0-aed6e902750e,http://sernecportal.org/portal/collections/individual/index.php?occid=16807389
16807397,UA,UNA,,S,{72ADB518-170B-4186-B8A5-E47C80561BC0},UNA00031916,,Plantae,Magnoliophyta,,Fagales,Juglandaceae,Juglans cinerea,47156,L.,Juglans,cinerea,,,L. J. Davenport,1980/00/00,,,,,,Charles Mohr,,s.n.,1881-05-02,1881,5,2,122,,1881-05-02,| Rich woods | Flowers Present,,,,,,,,,,,0,,,,,United States,Alabama,Winston,,Sipsey Valley,,0,,34.15,-87.36667,,,"34.15000, -87.36667",,,,,,,,,,,,,,,1000-01-01 01:00:00,UNA00031916,286,urn:uuid:531cc405-9456-41f3-bec0-3193d10b130d,http://sernecportal.org/portal/collections/individual/index.php?occid=16807397
16807392,UA,UNA,,S,{A023E911-00DA-469A-851A-705CC02E4BA4},UNA00031931,,Plantae,Magnoliophyta,,Fagales,Juglandaceae,Juglans cinerea,47156,L.,Juglans,cinerea,,,L. J. Davenport,1980/00/00,,,,,,Charles Mohr,,s.n.,1889-04-25,1889,4,25,115,,1889-04-25,| Flowers Present,,,,,,,,,,,0,,,,,United States,Alabama,Cullman,,Cullman,,0,,34.16667,-86.83334,,,"34.16667, -86.83334",,,,,,,,,,,,,,,1000-01-01 01:00:00,UNA00031931,286,urn:uuid:171b4c2a-e6b4-4a65-b69e-3c39009b5349,http://sernecportal.org/portal/collections/individual/index.php?occid=16807392
