id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references
16807396,UA,UNA,,S,{4BBC8D86-2809-460C-94FD-6860C19FEE8C},UNA00031926,,Plantae,Magnoliophyta,,Fagales,Juglandaceae,Juglans cinerea,47156,L.,Juglans,cinerea,,,Ross C. Clark,1969/00/00,,,,,,C. B. Segars | A. M. Harvill & C. B. Segars #,,178,8/22/1949,1949,8,22,234,,8/22/1949,damp sandy soil,,,,,,,,,,,0,,,,,United States,Alabama,Lawrence,,King Cove about 5 miles east of the southwest corner of Lawrence County.,,0,,34.33083,-87.4625,,,"34.33083, -87.46250",,,,,,,,,,,,,,,1000-01-01 01:00:00,UNA00031926,286,urn:uuid:85ca4234-2dbc-43d0-8361-979619bb751e,http://sernecportal.org/portal/collections/individual/index.php?occid=16807396
6361585,MMNS,,,PreservedSpecimen,MMNS021258,MMNS021258,21258,Plantae,Magnoliophyta,,Fagales,Juglandaceae,Juglans cinerea,47156,L.,Juglans,cinerea,,,,,,,,,,Charles T. Bryson,,9950,5/18/1990,1990,5,18,138,,5/18/1990,,"on steep NW-facing slope above E branch of Okannatie Creek; Assoc. Quercus, Carya, Juglans, Acer, & Liriodendron, Rich, sandy loam soil w/ thick leaf",,,,,,,,veg,,,,,,,United States,Mississippi,Union,,6 mi. SE New Albany; N of US Hwy. 178,,0,,34.41083333,-88.92361111,,,T8S R4E S6,,,,,,,,,,,,,,MAWM,12/9/2019 16:50,21258,222,urn:uuid:51408af7-5c89-49b7-bc6a-6c6ec281099d,http://sernecportal.org/portal/collections/individual/index.php?occid=6361585
16807393,UA,UNA,,S,{9E19DF5F-18A2-4CC4-B703-F3A5306FBC2F},UNA00031911,,Plantae,Magnoliophyta,,Fagales,Juglandaceae,Juglans cinerea,47156,L.,Juglans,cinerea,,,,0000/00/00,,,,,,John H. Wiersema | John H. Wiersema #,,765,6/2/1979,1979,6,2,153,,6/2/1979,"| Common tree, to 40 ft tall",,,,,,,,,,,0,,,,,United States,Alabama,De Kalb,,"along road near office of Buck's Pocket State Park. T6S, R6E, Sec 31.",,0,,34.47472,-86.05167,,,"34.47472, -86.05167",,,,,,,,,,,,,,,1000-01-01 01:00:00,UNA00031911,286,urn:uuid:b38b74e1-0662-4ea3-95f0-f14cea259566,http://sernecportal.org/portal/collections/individual/index.php?occid=16807393
12791583,TROY,,,PreservedSpecimen,TROY000006385,TROY000006385,,Plantae,Magnoliophyta,,Fagales,JUGLANDACEAE,Juglans cinerea,47156,L.,Juglans,cinerea,,,,,,,,,,Daniel D. Spaulding,"Robert Kral & Jim Lancefield, David Webb, & Leon Bates",12064,4/2/2004,2004,4,2,93,,4/2/2004,,Margin of old beaver pond along Cane Creek.,,,,,,,,Vegetative,,,,,,,United States,Alabama,Colbert,,"Jim Lacefield's Cane Creek Nature Preserve a few miles northwest of Crooked Oak and west of CR 65, Little Mountain district of the Highland Rim Section of the Interior Low Plateaus",,0,,34.636667,-87.814167,,,,,,,,,156,,,,,511Feet,,,,12/9/2019 16:50,TROY000006385,322,urn:uuid:7f503e14-9c98-4a28-858b-ae7b69cff2c1,http://sernecportal.org/portal/collections/individual/index.php?occid=12791583
16807391,UA,UNA,,S,{948AA24E-7AD7-4775-A12D-829989761165},UNA00064133,,Plantae,Magnoliophyta,,Fagales,Juglandaceae,Juglans cinerea,47156,L.,Juglans,cinerea,,,,0000/00/00,,,,,,"D. D. Spaulding with Robert Kral, Jim Lacefield, Dave Webb, Leon Bates",,12064,4/2/2004,2004,4,2,93,,4/2/2004,"margin of old beaver pond | ""Butternut; White Walnut"" | Neither Present",,,,,,,,,,,0,,,,,United States,Alabama,Colbert,,along Cane Cr. Jim Lacefield's Cane Cr Nature Preserve a few mi NW of Crooked Oak and W of CR-65. Little Mountain district of the Highland Rim section of the Interior Low Plateaus. Pride Quad,,0,,34.63667,-87.81417,,,"34.63667, -87.81417",,,,,,,,,,,,,,,5/2/2005 0:15,UNA00064133,286,urn:uuid:c0d15cb5-bda1-4302-860d-9ad40d8ae664,http://sernecportal.org/portal/collections/individual/index.php?occid=16807391
12653941,NCU,,,PreservedSpecimen,d4e331b9-7bac-4e59-a8f3-9b11f7315d90,NCU00237049,646522,Plantae,Magnoliophyta,,Fagales,Juglandaceae,Juglans cinerea,47156,L.,Juglans,cinerea,,,"Richards, Edward L.",7/14/1966,,,,,,"Richards, Edward Leon",,4818,7/14/1966,1966,7,14,195,,,,Found along creek,,,,,,,"Juglans nigra, Fraxinus, Ailanthus",,,,,,,,United States,Arkansas,Lee,,Crowley's Ridge,,0,,34.648876,-90.671276,WGS84,969,TRS: T1N R4E sec 34 F-AR,,,GeoLocate,,[TRS on original label],,,,,,,,,Carol Ann McCormick,12/9/2019 16:50,,206,urn:uuid:d4e331b9-7bac-4e59-a8f3-9b11f7315d90,http://sernecportal.org/portal/collections/individual/index.php?occid=12653941
16807395,UA,UNA,,S,{5BA59F78-1F27-4D1F-A8B0-07A1ADB21AEC},UNA00069752,,Plantae,Magnoliophyta,,Fagales,Juglandaceae,Juglans cinerea,47156,L.,Juglans,cinerea,,,,0000/00/00,,,,,,T. Wayne Barger with Brian D. Holt,,HC-530,6/17/2010,2010,6,17,168,,6/17/2010,rocky limestone top; seasonal stream nearby | Neither Present,,,,,,,,,,,0,,,,,United States,Alabama,Jackson,,Henshaw Cove Forever Wild Tract,,0,,34.76667,-86,,,"34.76667, -86.00000",,,,,,,,,,,,,,,2/28/2011 15:22,UNA00069752,286,urn:uuid:52ef1378-782c-4aee-8d7b-2597bb240b7d,http://sernecportal.org/portal/collections/individual/index.php?occid=16807395
16807394,UA,UNA,,S,{957E560C-0059-45EC-AE9A-0D592F94B01F},UNA00031941,,Plantae,Magnoliophyta,,Fagales,Juglandaceae,Juglans cinerea,47156,L.,Juglans,cinerea,,,Ross C. Clark,1969/00/00,,,,,,C. B. Segars | A. M. Harvill & C. B. Segars #,,158,8/21/1949,1949,8,21,233,,8/21/1949,calcareous soil,,,,,,,,,,,0,,,,,United States,Alabama,Jackson,,about 3 miles southeast of Swaim.,,0,,34.85,-86.15,,,"34.85000, -86.15000",,,,,,,,,,,,,,,1000-01-01 01:00:00,UNA00031941,286,urn:uuid:573f4d3d-0fb0-4e33-8d0d-b40b11e132ff,http://sernecportal.org/portal/collections/individual/index.php?occid=16807394
10418104,NCU,,,PreservedSpecimen,bd9a45d4-a37f-44c3-8633-c294f96a8cb2,NCU00054335,151864,Plantae,Magnoliophyta,,Fagales,Juglandaceae,Juglans cinerea,47156,L.,Juglans,cinerea,,,"Ahles, Harry E.; Radford, A. E.",6/2/1956,,,,,,"Ahles, Harry E.","Radford, A. E.",13707,6/2/1956,1956,6,2,154,,,,woodland border and roadside,,,,,,,,,,,,,,,United States,North Carolina,Clay,,Shooting Creek Vista on U.S. Rt. 64,,0,,35.024844,-83.666806,WGS84,3036,,"McCormick, Carol Ann",,GeoLocate,,#NAME?,,,,,,,,en,maysaaraba,12/9/2019 16:50,,206,urn:uuid:bd9a45d4-a37f-44c3-8633-c294f96a8cb2,http://sernecportal.org/portal/collections/individual/index.php?occid=10418104
9251853,WCUH,,,PreservedSpecimen,16b54c18-181a-43ab-97e3-3004c1cbfb8e,WCUH0014795,19266,Plantae,Magnoliophyta,,Fagales,Juglandaceae,Juglans cinerea,47156,L.,Juglans,cinerea,,,"Lee, Martha; Pittillo, J. Dan",4/17/1983,,,,,,"Lee, Martha","Pittillo, J. Dan",1296,4/17/1983,1983,4,17,107,,,,,,"(Butternut), White Walnut)",,,,,,Fruit,,,,,,,United States,North Carolina,Macon,,"Meadow in front of office, along Coweeta Creek. Map Coord: 675.2/506.2",,0,,35.06013,-83.431363,,292,,ajlafferty (2017-09-06 08:28:37),,georef batch tool 2017-09-06; GeoLocate,reviewed - high confidence,,686,,,,,,,en,kaley wisher,1/29/2020 12:24,,248,urn:uuid:16b54c18-181a-43ab-97e3-3004c1cbfb8e,http://sernecportal.org/portal/collections/individual/index.php?occid=9251853
21770175,FLAS,,FLAS,PreservedSpecimen,ff63c003-76af-482a-924a-26e9644949bf,265440,,Plantae,Magnoliophyta,,Fagales,Juglandaceae,Juglans cinerea,47156,L.,Juglans,cinerea,,,,,,[Orig. id.:] Juglans cinerea L. [Det.:] Mark Whitten [Det. date:] October 2016,,,,Mark Whitten,,5135,6/18/2016,2016,6,18,170,,18-Jun-16,"[Voucher note:] Voucher for NSF award 1442280 ""How historical constraints, local adaptation, and species interactions shape biodiversity across an ancient floristic disjunction.""",,,,,location information not given for endangered species,,,,vegetative,,,,,,Preserved herbarium specimens,United States,North Carolina,Macon,,United States: North Carolina: Macon County. Coweeta Hydrologic Lab. Chote Road. Elev. 10005 m Appalachian/Blue Ridge mixed oak forest; mesic slope adjacent to road. Tree to 8 m tall. Leaves with terminal leaflet; leaf scars with distinctive pad of trichomes distal to scar. Pith of twigs dark brown. Lat. 35.06098N Long. 83.46350W Datum: WGS84.,Coweeta Hydrologic Lab,0,,35.06098,-83.4635,WGS84,,,,,,,,,,,,,,FLASCAT,en,,12/9/2019 16:50,ff63c003-76af-482a-924a-26e9644949bf,249,urn:uuid:b3fc121b-cf95-41cf-9d52-1754521b0f55,http://sernecportal.org/portal/collections/individual/index.php?occid=21770175
21770176,FLAS,,FLAS,PreservedSpecimen,459836c0-eedb-4b67-a350-6d0c3377068b,265441,,Plantae,Magnoliophyta,,Fagales,Juglandaceae,Juglans cinerea,47156,L.,Juglans,cinerea,,,,,,[Orig. id.:] Juglans cinerea L. [Det.:] Mark Whitten [Det. date:] October 2016,,,,Mark Whitten,,5135,6/18/2016,2016,6,18,170,,18-Jun-16,"[Voucher note:] Voucher for NSF award 1442280 ""How historical constraints, local adaptation, and species interactions shape biodiversity across an ancient floristic disjunction.""",,,,,location information not given for endangered species,,,,vegetative,,,,,,Preserved herbarium specimens,United States,North Carolina,Macon,,United States: North Carolina: Macon County. Coweeta Hydrologic Lab. Chote Road. Elev. 10005 m Appalachian/Blue Ridge mixed oak forest; mesic slope adjacent to road. Tree to 8 m tall. Leaves with terminal leaflet; leaf scars with distinctive pad of trichomes distal to scar. Pith of twigs dark brown. Lat. 35.06098N Long. 83.46350W Datum: WGS84.,Coweeta Hydrologic Lab,0,,35.06098,-83.4635,WGS84,,,,,,,,,,,,,,FLASCAT,en,,12/9/2019 16:50,459836c0-eedb-4b67-a350-6d0c3377068b,249,urn:uuid:08a428b6-ac12-4ddc-b815-0e37d63403e4,http://sernecportal.org/portal/collections/individual/index.php?occid=21770176
21770177,FLAS,,FLAS,PreservedSpecimen,00aef65f-8442-49bb-8f05-f28832272dd3,265442,,Plantae,Magnoliophyta,,Fagales,Juglandaceae,Juglans cinerea,47156,L.,Juglans,cinerea,,,,,,[Orig. id.:] Juglans cinerea L. [Det.:] Mark Whitten [Det. date:] October 2016,,,,Mark Whitten,,5135,6/18/2016,2016,6,18,170,,18-Jun-16,"[Voucher note:] Voucher for NSF award 1442280 ""How historical constraints, local adaptation, and species interactions shape biodiversity across an ancient floristic disjunction.""",,,,,location information not given for endangered species,,,,vegetative,,,,,,Preserved herbarium specimens,United States,North Carolina,Macon,,United States: North Carolina: Macon County. Coweeta Hydrologic Lab. Chote Road. Elev. 10005 m Appalachian/Blue Ridge mixed oak forest; mesic slope adjacent to road. Tree to 8 m tall. Leaves with terminal leaflet; leaf scars with distinctive pad of trichomes distal to scar. Pith of twigs dark brown. Lat. 35.06098N Long. 83.46350W Datum: WGS84.,Coweeta Hydrologic Lab,0,,35.06098,-83.4635,WGS84,,,,,,,,,,,,,,FLASCAT,en,,12/9/2019 16:50,00aef65f-8442-49bb-8f05-f28832272dd3,249,urn:uuid:3345838d-6102-4d3b-bedb-3e488bc98b3a,http://sernecportal.org/portal/collections/individual/index.php?occid=21770177
21770178,FLAS,,FLAS,PreservedSpecimen,8df98db7-fc00-4717-98c3-2d8e8b8965b1,265443,,Plantae,Magnoliophyta,,Fagales,Juglandaceae,Juglans cinerea,47156,L.,Juglans,cinerea,,,,,,[Orig. id.:] Juglans cinerea L. [Det.:] Mark Whitten [Det. date:] October 2016,,,,Mark Whitten,,5135,6/18/2016,2016,6,18,170,,18-Jun-16,"[Voucher note:] Voucher for NSF award 1442280 ""How historical constraints, local adaptation, and species interactions shape biodiversity across an ancient floristic disjunction.""",,,,,location information not given for endangered species,,,,vegetative,,,,,,Preserved herbarium specimens,United States,North Carolina,Macon,,United States: North Carolina: Macon County. Coweeta Hydrologic Lab. Chote Road. Elev. 10005 m Appalachian/Blue Ridge mixed oak forest; mesic slope adjacent to road. Tree to 8 m tall. Leaves with terminal leaflet; leaf scars with distinctive pad of trichomes distal to scar. Pith of twigs dark brown. Lat. 35.06098N Long. 83.46350W Datum: WGS84.,Coweeta Hydrologic Lab,0,,35.06098,-83.4635,WGS84,,,,,,,,,,,,,,FLASCAT,en,,12/9/2019 16:50,8df98db7-fc00-4717-98c3-2d8e8b8965b1,249,urn:uuid:905bd74e-b61c-4d5e-9e7d-e858316d086e,http://sernecportal.org/portal/collections/individual/index.php?occid=21770178
21770172,FLAS,,FLAS,PreservedSpecimen,f4077e69-7334-4686-b4a0-5d8aba9b6f67,265437,,Plantae,Magnoliophyta,,Fagales,Juglandaceae,Juglans cinerea,47156,L.,Juglans,cinerea,,,,,,[Orig. id.:] Juglans cinerea L. [Det.:] Mark Whitten [Det. date:] October 2016,,,,Mark Whitten,,5134,6/18/2016,2016,6,18,170,,18-Jun-16,"[Voucher note:] Voucher for NSF award 1442280 ""How historical constraints, local adaptation, and species interactions shape biodiversity across an ancient floristic disjunction.""",,,,,location information not given for endangered species,,,,vegetative,,,,,,Preserved herbarium specimens,United States,North Carolina,Macon,,United States: North Carolina: Macon County. Coweeta Hydrologic Lab. Chote Road. Elev. 1080 m Appalachian/Blue Ridge mixed oak forest; mesic slope adjacent to road. Tree to 10 m tall. Leaves with terminal leaflet; leaf scars with distinctive pad of trichomes distal to scar. Pith of twigs dark brown. Lat. 35.06222N Long. 83.46347W Datum: WGS84.,Coweeta Hydrologic Lab,0,,35.06222,-83.46347,WGS84,,,,,,,,,,,,,,FLASCAT,en,,12/9/2019 16:50,f4077e69-7334-4686-b4a0-5d8aba9b6f67,249,urn:uuid:5baee12c-aaaa-41d7-9ea3-4d38cdf91ac3,http://sernecportal.org/portal/collections/individual/index.php?occid=21770172
21770173,FLAS,,FLAS,PreservedSpecimen,954e2b9c-afaa-46a4-853d-e325b9bd0cd2,265438,,Plantae,Magnoliophyta,,Fagales,Juglandaceae,Juglans cinerea,47156,L.,Juglans,cinerea,,,,,,[Orig. id.:] Juglans cinerea L. [Det.:] Mark Whitten [Det. date:] October 2016,,,,Mark Whitten,,5134,6/18/2016,2016,6,18,170,,18-Jun-16,"[Voucher note:] Voucher for NSF award 1442280 ""How historical constraints, local adaptation, and species interactions shape biodiversity across an ancient floristic disjunction.""",,,,,location information not given for endangered species,,,,vegetative,,,,,,Preserved herbarium specimens,United States,North Carolina,Macon,,United States: North Carolina: Macon County. Coweeta Hydrologic Lab. Chote Road. Elev. 1080 m Appalachian/Blue Ridge mixed oak forest; mesic slope adjacent to road. Tree to 10 m tall. Leaves with terminal leaflet; leaf scars with distinctive pad of trichomes distal to scar. Pith of twigs dark brown. Lat. 35.06222N Long. 83.46347W Datum: WGS84.,Coweeta Hydrologic Lab,0,,35.06222,-83.46347,WGS84,,,,,,,,,,,,,,FLASCAT,en,,12/9/2019 16:50,954e2b9c-afaa-46a4-853d-e325b9bd0cd2,249,urn:uuid:c61f529e-05bf-4b21-833b-9aed3b803d2c,http://sernecportal.org/portal/collections/individual/index.php?occid=21770173
21770174,FLAS,,FLAS,PreservedSpecimen,7b746388-5486-4738-a417-ff2247d04143,265439,,Plantae,Magnoliophyta,,Fagales,Juglandaceae,Juglans cinerea,47156,L.,Juglans,cinerea,,,,,,[Orig. id.:] Juglans cinerea L. [Det.:] Mark Whitten [Det. date:] October 2016,,,,Mark Whitten,,5134,6/18/2016,2016,6,18,170,,18-Jun-16,"[Voucher note:] Voucher for NSF award 1442280 ""How historical constraints, local adaptation, and species interactions shape biodiversity across an ancient floristic disjunction.""",,,,,location information not given for endangered species,,,,vegetative,,,,,,Preserved herbarium specimens,United States,North Carolina,Macon,,United States: North Carolina: Macon County. Coweeta Hydrologic Lab. Chote Road. Elev. 1080 m Appalachian/Blue Ridge mixed oak forest; mesic slope adjacent to road. Tree to 10 m tall. Leaves with terminal leaflet; leaf scars with distinctive pad of trichomes distal to scar. Pith of twigs dark brown. Lat. 35.06222N Long. 83.46347W Datum: WGS84.,Coweeta Hydrologic Lab,0,,35.06222,-83.46347,WGS84,,,,,,,,,,,,,,FLASCAT,en,,12/9/2019 16:50,7b746388-5486-4738-a417-ff2247d04143,249,urn:uuid:9dd9903a-0570-40da-b0af-ed196de7b0cf,http://sernecportal.org/portal/collections/individual/index.php?occid=21770174
10418127,NCU,,,PreservedSpecimen,1c2059c2-078d-4735-8d29-44e0755ad265,NCU00054346,234348,Plantae,Magnoliophyta,,Fagales,Juglandaceae,Juglans cinerea,47156,L.,Juglans,cinerea,,,"Rodgers, Charles Leland",6/14/1961,,,,,,"Rodgers, Charles Leland",,61178a,6/14/1961,1961,6,14,165,,,,Cove,,,,,,,,,,,,,,,United States,North Carolina,Transylvania,,Horsepasture Gorge,,0,,35.087495,-82.960351,WGS84,5279,,"McCormick, Carol Ann",,GeoLocate,,polygon= Horsepasture River in Transylvania County; point ~ midpoint,427,,,,,1400 ft.,,en,maysaaraba,12/9/2019 16:50,,206,urn:uuid:1c2059c2-078d-4735-8d29-44e0755ad265,http://sernecportal.org/portal/collections/individual/index.php?occid=10418127
