"","Distance","HExp","Col"
"31",95.8269211492781,0.789511994125151,"firebrick1"
"568",109.816456592915,0.829547865844718,"firebrick1"
"1014",160.88804747352,0.821296613822456,"firebrick1"
"7917",113.189523876528,0.834981066544893,"firebrick1"
"9101113a",168.257589234407,0.819115177335195,"firebrick1"
"9101113b",159.792522117724,0.827942446557698,"firebrick1"
"151",195.485004986654,0.838712284734486,"firebrick4"
"170",135.204899534835,0.780199767537229,"lightsalmon"
"125147",212.160863844346,0.851634939858782,"firebrick4"
"126147",197.688920554315,0.848057135042603,"firebrick4"
"171188",184.384041433476,0.833769728654847,"lightsalmon"
"APA12PACb",467.809432816685,0.846136579143201,"dodgerblue"
"BV",286.574737487567,0.834974236936454,"dodgerblue"
"BVT",261.743237693451,0.817895519115031,"dodgerblue"
"BVTGMVT2",273.456693784883,0.841348851035799,"dodgerblue"
"CNF",170.138713583623,0.774292150217451,"dodgerblue"
"FKN",353.111772538073,0.837274552187275,"dodgerblue"
"GMVT1",236.843336592764,0.815418984289331,"dodgerblue"
"MC",430.003796290988,0.850880576964301,"dodgerblue"
"OZ12",223.857925503691,0.830106826167767,"dodgerblue"
"SFNF12",102.431629860499,0.79771888209426,"dodgerblue"
"WHWI",378.490651046533,0.750639718496717,"dodgerblue"
"WWI",276.391563150901,0.756998556998557,"dodgerblue"
"VSH123",274.006911897022,0.839111053161429,"dodgerblue"
