"","Pvalue","R2"
"Linear_allrich_woNB",0.0847152695132786,0.122713570213602
"Quadatric_allrich_woNB",0.156489531158319,0.193066379780455
"Linear_allrich_woNB_woWI",0.269237904336835,0.0231602999817524
"Quadatric_allrich_woNB_woWI",0.0110734046375372,0.402574556017956
"Linear_allrich_NB",0.226542675366119,0.171978725062393
