"","chi^2","df","Pr(chi^2 >)","Pr.exact"
"B114",1487.19189017293,351,0,0
"B159",895.573366176303,378,0,0
"WGA",624.294392674362,210,0,0
"A5_2",428.819771730985,136,0,0
"B157",745.836418411035,66,0,0
"B212_2",2872.91458304706,703,0,0
"B121",749.832758221176,153,0,0
"B147",234.395362067004,66,0,0
"B249",575.371502565284,136,0,0
"B262",569.972122911222,253,0,0
"B264",3371.63542940245,190,0,0
