"","Mean_Lat","Allelic_Richness","Color"
"31",46.569220751087,7.25899356080791,"firebrick1"
"568",46.6681342909091,7.89020941390068,"firebrick1"
"1014",45.7310288482143,8.19231802307498,"firebrick1"
"7917",46.0501162745098,8.14861221881957,"firebrick1"
"9101113a",45.8714787837004,7.71041964301085,"firebrick1"
"9101113b",45.9914942103175,7.99435326190263,"firebrick1"
"151",44.6047330833333,8.51171683046041,"firebrick4"
"170",45.393930585,7.36494341422044,"lightsalmon"
"125147",44.138199862,9.18261165870971,"firebrick4"
"126147",43.9994095887273,8.91249881931789,"firebrick4"
"171188",45.032319587377,8.3286175855492,"lightsalmon"
"APA12PACb",41.6377319701754,9.16337791701209,"dodgerblue"
"BV",35.9065582014706,8.40789796622104,"dodgerblue"
"BVT",44.4450498619048,8.04616135901094,"dodgerblue"
"BVTGMVT2",44.0359461757576,8.73521347490159,"dodgerblue"
"CNF",45.4715859259259,6.6951760184675,"dodgerblue"
"FKN",38.5823257428571,8.72930613323797,"dodgerblue"
"GMVT1",42.9882235190476,8.31008991650117,"dodgerblue"
"MC",37.1969432459016,9.31005103471138,"dodgerblue"
"OZ12",37.0544802884298,8.7408806026671,"dodgerblue"
"SFNF12",34.64848319,8.33778961607541,"dodgerblue"
"WHWI",42.8305764615385,6.46567555404934,"dodgerblue"
"WWI",44.5454861666667,6.79672449238753,"dodgerblue"
"VSH123",38.3586704818182,9.2307647125235,"dodgerblue"
