"","Mean_Lon","Mean_Lat","col"
"31","-66.0649746336957","46.569220751087","darkmagenta"
"568","-67.6986839090909","46.6681342909091","darkorchid3"
"1014","-65.6398623214286","45.7310288482143","deeppink3"
"7917","-67.6512319607843","46.0501162745098","darkviolet"
"9101113a","-66.4238415678414","45.8714787837004","deeppink"
"9101113b","-66.7397802674603","45.9914942103175","lightpink"
"151","-78.5248268875","44.6047330833333","lightcoral"
"170","-77.08350133","45.393930585","orangered3"
"125147","-79.3679764422857","44.138199862","red4"
"126147","-80.0771267261818","43.9994095887273","firebrick1"
"171188","-75.512821814918","45.032319587377","brown1"
"APA12PACb","-79.2504961666667","41.6377319701754","darkgoldenrod1"
"BV","-85.9110113727941","35.9065582014706","darkseagreen"
"BVT","-73.0012628428571","44.4450498619048","darkgoldenrod4"
"BVTGMVT2","-72.6936191454545","44.0359461757576","gold"
"CNF","-88.6261559259259","45.4715859259259","deepskyblue"
"FKN","-79.3791539928571","38.5823257428571","lightsalmon1"
"GMVT1","-72.5503429619048","42.9882235190476","khaki"
"MC","-86.1150879196721","37.1969432459016","olivedrab4"
"OZ12","-91.3333576619835","37.0544802884298","olivedrab3"
"SFNF12","-90.6663629566667","34.64848319","forestgreen"
"WHWI","-88.8316948461539","42.8305764615385","lightblue3"
"WWI","-89.1115657222222","44.5454861666667","dodgerblue2"
"VSH123","-78.5184912954545","38.3586704818182","orange3"
