Ind,Pop,B114_1,B114_2,B159__1,B159_2,WGA_1,WGA_2,A5_1,A5_2,B121_1,B121_2,B147_1,B147_2,B249_1,B249_2,B264_1,B264_2
C4542,568,246,248,104,104,167,171,205,205,181,185,337,343,183,191,235,239
C4555,568,248,280,0,0,161,163,211,211,177,187,333,333,185,189,227,227
C4693,568,264,282,122,124,155,159,203,211,177,177,333,341,187,189,237,237
C4696,568,248,280,104,128,155,179,201,205,177,193,333,337,187,189,235,237
C3179,568,248,280,104,130,163,163,207,207,179,183,339,339,191,191,239,239
C3188,568,248,254,120,130,163,177,205,207,177,183,335,341,169,191,221,235
C3193,568,276,282,104,134,175,177,207,211,170,179,333,339,185,185,227,235
C3232,568,254,276,104,158,163,163,203,217,177,181,335,341,169,185,221,239
C3236,568,280,282,122,130,159,163,203,205,183,185,333,341,183,191,239,239
C3250,568,248,282,124,136,177,177,205,211,181,181,333,339,169,191,235,239
C3252,568,248,254,104,136,163,175,203,207,177,185,333,341,187,187,235,235
C3253,568,248,258,128,130,163,177,201,211,177,183,333,335,183,187,221,239
C3277,568,248,282,120,128,171,175,207,211,177,179,333,339,187,191,221,237
C3315,568,248,256,104,136,165,165,211,211,183,189,341,343,169,191,235,237
C3288,568,276,282,124,128,163,179,203,207,170,177,333,333,183,189,227,227
C3293,568,264,282,104,122,165,165,203,209,179,187,327,333,169,169,221,227
C4018,1014,276,276,122,128,163,163,203,205,170,185,335,343,187,187,239,239
C3980,1014,272,280,104,128,159,179,203,203,177,177,335,341,187,191,221,235
C3987,1014,260,272,104,128,163,177,205,217,177,183,335,341,179,189,221,235
C3988,1014,248,260,124,130,175,175,203,205,177,183,341,341,181,189,221,221
C3989,1014,280,280,122,122,165,171,197,203,183,183,333,341,177,187,210,210
C4011,1014,248,254,104,130,177,177,203,203,170,177,339,345,181,181,221,221
C4017,1014,248,258,104,124,163,179,203,203,177,177,341,343,169,187,239,239
C4296,1014,248,248,122,136,163,173,203,211,170,177,333,333,183,187,221,235
C4301,1014,254,254,104,104,167,167,209,209,177,177,333,339,169,183,221,223
C4305,1014,248,254,104,104,165,171,203,215,177,179,0,0,169,181,219,221
C4453,1014,254,254,104,130,165,175,203,203,177,187,333,339,183,187,221,239
C4455,1014,0,0,122,124,165,165,203,203,170,187,327,333,183,187,221,227
C4783,1014,276,280,124,130,155,165,194,203,177,181,341,343,169,187,227,243
C4786,1014,248,280,104,130,167,179,203,207,177,183,333,333,185,187,235,239
C4891,1014,274,276,128,130,177,181,203,203,177,181,339,339,189,191,223,235
C4892,1014,248,280,104,122,167,167,203,207,179,183,343,343,189,191,221,223
C4893,1014,274,276,122,130,171,171,203,207,177,181,333,341,187,189,223,223
C4898,1014,254,276,104,122,163,171,194,207,177,183,333,339,185,189,223,239
C4901,1014,272,276,104,104,163,181,203,207,177,179,333,341,185,185,239,239
C3271,1014,260,280,120,128,165,167,217,219,177,183,327,329,183,185,239,239
C3272,1014,276,280,128,128,167,177,209,217,170,177,329,333,169,169,221,235
C3276,1014,258,282,104,104,167,175,207,209,181,185,329,339,169,191,221,227
C3280,1014,258,276,124,130,163,163,205,217,183,189,0,0,183,189,235,239
C3306,1014,260,276,128,128,165,175,205,217,177,183,333,333,183,193,221,221
C3324,1014,248,248,136,136,163,163,203,205,179,189,329,337,189,189,235,239
C3336,1014,248,280,104,128,163,167,203,217,170,177,333,339,169,183,235,235
C3409,1014,248,254,130,132,161,187,205,211,177,177,0,0,181,183,221,221
C3227,1014,272,278,104,122,167,179,203,203,177,183,333,339,187,191,227,239
C3228,1014,248,256,104,122,159,177,199,211,177,183,329,341,169,181,237,237
C3321,1014,278,280,104,104,177,179,193,205,177,181,333,341,181,181,227,227
C3237,1014,248,278,106,124,161,165,203,205,177,183,327,341,185,187,227,239
C3303,1014,248,280,130,130,163,163,205,207,177,185,333,333,185,187,235,235
C3317,1014,248,248,130,132,163,171,203,205,177,183,333,333,181,187,239,239
C3376,1014,248,276,124,124,163,177,203,203,177,185,0,0,187,189,221,237
C3401,1014,258,280,104,128,175,177,203,205,177,193,333,339,181,189,235,235
C3245,1014,254,278,128,128,161,175,207,207,170,179,327,339,189,189,221,235
C3302,1014,276,276,104,124,161,163,205,207,170,177,327,333,187,189,225,227
C3307,1014,248,248,122,130,171,175,207,211,179,187,327,341,183,183,225,239
C3310,1014,256,274,120,130,163,165,203,203,170,185,339,341,185,189,225,227
C3312,1014,254,276,128,130,165,165,207,211,177,187,339,341,0,0,231,239
C3345,1014,254,280,130,130,163,163,203,209,177,187,327,341,169,185,221,225
C3362,1014,248,274,104,128,165,167,203,207,170,177,333,333,169,189,221,227
C3371,1014,280,282,104,130,171,177,203,207,170,179,327,333,183,191,225,225
C3372,1014,248,280,122,128,163,171,203,211,177,187,333,341,183,183,221,225
C3393,1014,254,276,122,122,163,171,203,207,179,187,333,341,185,185,225,225
C3417,1014,254,282,122,130,171,177,203,209,170,177,327,333,189,191,221,229
C4569,7917,256,256,0,0,165,175,207,211,171,179,333,343,183,191,235,235
C4570,7917,248,248,0,0,155,163,205,211,171,179,333,343,179,187,239,239
C4571,7917,254,282,0,0,163,175,211,217,177,181,333,339,169,187,237,237
C4575,7917,264,282,0,0,163,163,207,207,177,177,339,343,169,177,221,239
C4577,7917,248,280,0,0,161,163,203,217,181,183,341,341,167,177,237,239
C4599,7917,248,276,0,0,177,189,203,209,177,177,329,339,181,189,221,227
C4608,7917,248,254,0,0,165,179,203,207,171,189,333,335,169,189,221,239
C4612,7917,248,282,0,0,159,165,203,203,177,183,331,343,169,177,235,235
C4618,7917,280,280,122,132,163,179,0,0,177,187,333,333,169,183,221,237
C4621,7917,254,272,122,122,159,177,217,217,181,187,341,341,169,189,221,227
C4622,7917,248,276,104,130,179,179,203,217,185,185,327,345,169,185,239,239
C4623,7917,248,252,122,122,163,165,205,205,185,193,327,333,183,191,237,239
C4624,7917,248,278,104,124,163,179,211,219,171,183,333,341,181,185,223,237
C4625,7917,276,284,124,124,163,165,217,217,171,177,333,343,181,183,227,235
C4627,7917,254,282,104,124,163,165,203,203,171,177,335,335,185,191,227,227
C4631,7917,248,272,122,132,179,179,209,209,177,189,337,341,169,183,235,239
C4632,7917,248,254,130,130,163,165,203,211,179,179,333,343,187,187,237,237
C3939,7917,276,276,122,128,161,167,203,209,183,183,333,341,181,187,235,235
C3940,7917,264,264,122,128,161,161,203,209,177,181,331,341,187,187,237,237
C3945,7917,248,248,130,130,163,163,203,205,177,179,335,341,181,185,223,239
C3949,7917,256,256,120,128,163,177,203,205,177,177,335,335,169,193,221,235
C4522,7917,282,282,124,124,155,179,205,209,183,187,333,341,185,185,221,227
C4566,7917,256,278,0,0,163,167,211,211,193,193,341,343,169,183,237,239
C3182,7917,260,276,104,130,163,177,205,217,177,177,327,339,183,187,221,221
C3189,7917,248,276,120,130,163,171,207,211,177,183,335,339,169,187,221,221
C3191,7917,254,276,104,122,163,175,211,211,177,179,339,339,191,191,0,0
C3196,7917,268,280,120,128,177,177,207,211,181,183,333,341,169,183,221,221
C3208,7917,254,272,104,104,161,175,203,203,177,183,335,341,169,185,235,235
C3211,7917,248,276,104,120,161,175,207,213,177,183,339,341,181,183,223,239
C3212,7917,254,276,104,136,161,171,209,215,177,183,331,339,173,185,235,239
C3213,7917,254,280,104,124,171,177,203,207,181,183,333,339,183,189,235,243
C3215,7917,262,278,122,130,179,179,207,207,177,181,333,333,187,189,223,227
C3217,7917,248,276,124,130,177,177,203,207,181,191,329,333,169,183,221,239
C3225,7917,248,278,134,136,155,177,0,0,177,183,339,339,169,187,235,239
C3238,7917,248,248,104,124,0,0,203,207,177,183,335,341,187,189,221,227
C3239,7917,248,254,136,158,155,163,203,211,183,187,333,339,185,191,221,221
C3269,7917,272,278,122,128,163,171,203,217,181,183,0,0,169,191,237,237
C3273,7917,272,282,124,128,171,175,203,207,177,183,339,341,169,181,221,221
C3274,7917,246,252,104,134,161,163,203,207,177,183,333,341,169,187,239,239
C3354,7917,256,276,104,124,163,175,207,211,177,179,333,341,189,189,221,221
C3361,7917,254,256,122,122,161,161,207,211,177,183,333,339,181,189,235,239
C3289,7917,280,282,104,104,163,171,203,203,170,183,333,333,187,187,221,221
C3169,7917,254,278,128,128,177,177,207,209,170,177,333,341,181,187,221,237
C3178,7917,254,282,128,132,161,161,203,207,177,187,327,341,187,189,221,221
C3199,7917,272,282,122,124,163,175,0,0,170,177,333,341,185,191,221,235
C4707,125147,248,278,122,136,161,171,207,217,177,177,331,337,193,193,223,237
C4747,125147,260,260,128,132,161,163,203,209,183,187,333,335,169,187,225,235
C4772,125147,248,280,122,128,155,161,207,211,171,181,333,341,183,187,221,237
C4781,125147,250,250,116,128,163,185,209,219,181,183,331,337,169,183,221,235
C4782,125147,254,254,120,124,155,165,207,207,185,185,333,333,181,181,235,237
C4787,125147,272,286,104,124,163,163,205,209,171,181,335,335,169,187,235,237
C4790,125147,260,274,128,130,155,179,201,203,187,189,333,337,183,183,221,227
C4803,125147,248,276,122,124,155,171,207,209,181,185,333,333,187,191,221,235
C4813,125147,252,260,104,104,161,179,199,211,177,185,333,341,169,187,221,239
C4837,125147,248,252,128,150,161,163,207,211,177,179,333,333,187,189,235,235
C4838,125147,248,272,120,124,161,167,199,207,177,183,331,335,169,191,227,235
C4843,125147,252,260,104,130,155,175,197,207,170,195,333,337,187,193,221,227
C4857,125147,272,276,104,120,155,165,203,205,170,187,333,335,169,169,221,237
C4828,125147,248,276,128,136,159,175,207,209,177,191,333,333,169,183,221,225
C4835,125147,248,272,104,124,163,171,203,211,179,187,335,343,181,187,221,221
C4836,125147,248,248,104,136,165,175,0,0,171,185,329,339,169,191,221,235
C4842,125147,252,270,120,134,163,163,197,203,171,177,333,343,187,193,227,227
C4863,125147,258,258,146,150,0,0,205,207,181,185,337,339,183,183,235,237
C4744,125147,270,278,120,128,161,169,207,209,179,193,333,339,169,169,227,227
C4745,125147,248,270,120,128,165,171,205,211,171,185,339,339,169,183,221,229
C4768,125147,248,270,122,128,161,165,207,211,179,189,331,335,185,185,235,235
C4769,125147,248,272,104,124,159,165,203,207,171,185,335,337,169,189,221,227
C4771,125147,248,276,124,130,159,167,199,207,185,185,333,335,183,187,235,235
C4784,125147,248,254,128,136,171,179,205,207,187,187,333,335,181,183,235,235
C4785,125147,254,276,132,136,163,165,199,207,187,191,333,341,173,183,221,235
C4795,125147,256,264,104,130,165,185,219,219,183,185,329,331,167,167,221,235
C4796,125147,256,276,124,130,161,161,199,203,171,189,331,333,169,187,235,237
C4797,125147,256,276,124,128,165,177,199,209,171,189,331,337,169,187,221,237
C4800,125147,252,254,104,124,159,173,199,207,181,193,335,335,179,197,221,235
C4801,125147,248,264,128,128,163,163,211,217,171,177,341,343,169,183,227,227
C4802,125147,248,256,122,128,163,177,205,207,171,187,333,343,181,183,221,235
C4804,125147,256,274,104,104,163,163,211,211,179,189,333,343,187,191,235,235
C4806,125147,262,262,122,134,159,159,207,217,171,171,331,333,169,181,235,235
C4850,125147,256,270,104,130,167,181,211,217,170,183,331,341,169,187,221,229
C4748,126147,254,262,124,128,163,175,207,209,187,187,337,339,167,167,227,227
C4753,126147,256,260,120,128,165,165,199,199,185,187,327,341,169,169,235,237
C4754,126147,248,252,122,128,163,163,203,205,171,189,337,341,169,189,235,237
C4760,126147,256,276,104,104,163,187,205,205,185,187,333,333,187,189,235,237
C4761,126147,248,262,130,132,159,171,199,207,177,183,333,343,169,191,237,237
C4762,126147,268,268,104,104,165,165,203,207,171,187,335,335,183,187,235,235
C4791,126147,248,248,104,124,167,167,207,217,171,179,335,343,169,183,235,245
C4810,126147,252,272,122,136,165,175,199,207,177,189,327,333,185,187,235,237
C4812,126147,248,262,130,130,167,167,203,207,183,187,333,333,169,187,235,235
C4816,126147,248,260,104,116,163,179,207,207,171,181,333,335,183,187,237,237
C4821,126147,248,262,104,120,165,171,205,207,177,177,337,341,183,187,225,225
C4866,126147,254,262,130,130,159,165,207,209,181,183,331,333,169,169,227,227
C1722,126147,256,262,124,130,155,163,205,207,177,177,333,339,169,187,227,235
C1724,126147,248,252,104,124,165,167,207,207,171,187,339,343,187,189,221,235
C1725,126147,248,276,122,124,167,171,207,209,169,187,333,339,169,187,227,227
C1726,126147,248,252,120,128,165,167,207,209,171,187,329,335,187,189,231,231
C1728,126147,248,254,104,124,155,167,207,209,187,187,329,335,169,187,221,235
C1731,126147,260,262,120,122,161,165,203,205,171,177,327,337,183,187,227,227
C1733,126147,252,262,130,130,163,171,207,215,177,183,0,0,177,183,221,235
C1735,126147,252,284,115,130,161,167,199,209,171,179,333,341,169,187,221,221
C1738,126147,268,276,106,130,161,161,203,207,171,183,333,343,183,183,235,241
C1740,126147,248,248,122,122,171,171,207,213,171,177,333,341,181,183,0,0
C1741,126147,248,258,128,128,155,167,203,209,183,183,333,341,169,169,221,221
C1742,126147,276,280,122,130,163,173,201,211,181,185,333,339,183,187,223,235
C1743,126147,260,272,104,120,163,163,203,211,187,189,333,339,183,191,221,223
C1745,126147,252,258,128,130,165,171,203,203,171,171,331,337,169,177,227,239
C1746,126147,248,260,128,130,163,165,203,211,177,189,333,339,183,187,223,227
C1747,126147,254,272,128,136,163,165,203,207,169,187,327,335,169,187,221,227
C4742,126147,248,256,104,130,163,175,203,207,171,179,333,341,169,191,235,235
C4752,126147,248,254,128,136,155,163,203,209,181,187,339,343,189,189,221,227
C4792,126147,248,250,119,122,155,171,211,211,181,183,333,333,183,187,227,235
C4793,126147,250,254,104,124,159,171,211,211,179,181,331,341,181,193,227,235
C4814,126147,252,276,122,136,155,163,203,211,177,185,331,335,169,179,221,221
C4815,126147,256,272,104,116,155,163,203,209,179,185,333,343,169,187,221,237
C4818,126147,248,248,104,130,159,163,207,209,177,177,339,339,169,183,227,235
C4819,126147,248,254,104,128,171,171,203,211,171,183,333,337,181,189,227,227
C4826,126147,258,272,104,124,161,171,205,207,171,179,333,337,183,191,235,235
C4830,126147,248,256,104,120,155,163,203,211,171,179,327,331,169,183,235,235
C4831,126147,250,276,122,130,163,175,205,217,181,183,337,341,169,181,223,235
C4832,126147,250,260,104,124,163,171,207,207,183,189,335,341,169,172,235,235
C4858,126147,248,248,120,124,163,179,205,209,168,177,335,335,183,193,237,237
C4757,126147,260,272,104,130,163,181,207,219,177,177,339,339,183,187,221,229
C4770,126147,248,276,116,120,155,167,199,207,170,170,333,335,187,187,221,239
C4808,126147,256,276,128,130,159,181,207,221,183,185,333,335,172,187,223,237
C4820,126147,262,274,124,124,163,163,207,217,177,181,327,327,169,183,221,223
C4824,126147,248,260,104,120,163,183,205,207,171,171,335,341,169,187,235,235
C4706,171188,252,272,104,120,163,171,203,211,171,185,333,337,187,187,221,235
C4708,171188,258,280,104,128,161,175,203,211,177,177,333,341,167,181,235,239
C4709,171188,248,254,130,132,165,179,207,209,171,189,333,333,181,183,235,235
C4714,171188,256,262,122,122,163,163,211,211,179,181,335,337,181,191,237,237
C4722,171188,248,260,104,130,163,163,199,203,171,177,337,341,183,183,235,235
C4726,171188,272,272,124,124,161,163,205,211,187,187,333,339,183,185,221,221
C4733,171188,248,256,124,130,175,175,207,211,177,193,331,333,181,193,235,235
C4734,171188,256,272,122,122,155,159,207,207,171,187,333,341,169,191,229,235
C4737,171188,254,258,124,130,159,165,211,211,179,189,335,337,183,191,221,235
C4882,171188,248,284,124,124,161,161,207,209,177,187,327,327,191,193,221,235
C4883,171188,258,258,128,130,163,165,203,203,187,193,331,335,189,191,235,235
C4702,171188,248,278,106,120,159,159,203,209,177,187,333,337,169,185,229,235
C4703,171188,248,248,104,130,161,179,207,211,177,177,327,331,177,183,221,237
C4723,171188,254,266,128,130,161,175,211,211,187,193,333,337,169,183,235,235
C4727,171188,254,260,124,128,155,165,203,207,171,171,335,337,189,191,227,227
C4732,171188,260,268,128,128,155,161,203,209,171,185,333,335,187,191,221,239
C4735,171188,256,256,122,128,161,167,207,209,171,177,333,335,191,197,221,221
C4736,171188,248,278,122,132,179,179,203,207,183,185,333,335,169,191,221,221
C4746,171188,252,280,104,124,179,179,199,211,171,185,335,339,191,191,235,237
C4777,171188,272,274,128,130,161,167,201,207,179,181,333,337,183,183,215,221
C4846,171188,258,280,128,130,163,165,197,211,177,183,335,341,185,189,229,239
C4847,171188,248,252,130,130,161,161,207,211,171,179,335,341,169,183,223,227
C4884,171188,260,278,104,126,161,173,209,211,171,185,335,335,169,181,235,235
C4701,171188,252,272,122,124,155,181,207,209,185,187,335,335,169,169,221,235
C4705,171188,248,252,104,122,161,165,213,217,181,185,333,341,169,187,221,221
C4711,171188,248,254,124,128,171,171,199,207,171,179,337,341,167,183,221,239
C4713,171188,278,278,104,104,163,171,205,207,181,193,327,333,183,183,221,235
C4716,171188,256,256,104,124,165,171,207,211,177,185,333,333,183,183,221,221
C4717,171188,248,258,122,122,159,159,203,205,177,185,335,339,183,183,227,237
C4719,171188,248,256,128,130,163,181,201,211,179,187,337,339,191,193,221,229
C4721,171188,248,272,122,128,155,163,203,211,179,183,333,339,179,181,235,235
C4729,171188,246,248,104,128,161,181,203,211,171,171,333,333,189,191,221,235
C4730,171188,254,238,128,130,163,165,203,203,177,185,341,341,183,187,221,237
C4763,171188,248,272,124,130,159,167,203,207,177,183,331,333,169,187,235,235
C4773,171188,248,248,122,124,159,163,211,211,185,185,333,333,189,189,227,239
C4861,171188,248,280,120,130,161,165,205,211,177,183,331,333,169,183,229,229
C4890,171188,248,248,104,144,163,179,207,217,185,193,333,337,169,169,235,237
C4724,171188,248,262,120,124,167,179,209,211,185,185,341,345,183,187,227,237
C4738,171188,254,272,128,130,155,165,203,207,177,187,333,333,181,183,227,235
C4739,171188,248,274,124,124,155,155,207,217,171,177,339,339,169,183,227,235
C4844,171188,256,274,130,130,159,167,207,209,177,179,333,341,181,189,235,235
C4845,171188,254,258,120,130,163,171,203,209,183,185,331,333,183,193,235,237
C4680,171188,272,280,120,124,167,171,205,205,171,185,333,341,169,191,237,237
C4681,171188,276,276,128,130,175,175,217,217,177,185,333,341,169,183,235,235
C4682,171188,250,250,128,136,155,167,207,217,187,187,333,333,183,191,221,239
C4685,171188,248,256,120,120,163,183,203,203,171,187,333,333,169,183,235,237
C4712,171188,248,272,104,132,159,159,205,207,173,183,327,333,169,191,235,237
C4715,171188,248,256,104,124,161,165,203,205,187,193,329,333,183,191,235,235
C4725,171188,274,274,124,132,161,163,199,209,179,189,333,333,169,169,221,235
C4728,171188,248,252,122,128,157,179,203,209,185,193,333,333,169,183,227,227
C4799,171188,248,286,104,122,163,167,203,211,177,179,333,339,181,183,221,221
C4889,171188,248,268,104,130,175,179,207,207,177,189,343,343,169,187,0,0
C4151,9101113a,248,248,122,130,163,179,203,211,177,187,341,341,183,189,221,239
C4152,9101113a,248,248,122,130,159,163,203,209,183,187,333,343,183,191,221,239
C4153,9101113a,248,256,104,122,163,177,207,207,181,187,333,343,183,191,239,239
C4154,9101113a,248,280,120,120,163,179,205,205,183,187,0,0,169,183,221,239
C4155,9101113a,248,280,128,128,159,163,203,209,183,183,333,341,187,191,235,239
C4157,9101113a,248,248,128,128,163,175,201,201,179,183,333,333,181,181,221,227
C4159,9101113a,248,276,104,122,159,165,203,209,177,183,333,341,183,191,221,239
C4161,9101113a,248,258,104,122,157,163,205,205,177,187,0,0,189,189,237,237
C4163,9101113a,248,276,122,122,159,179,205,205,183,187,335,343,181,191,221,239
C4165,9101113a,276,282,130,136,171,171,203,211,175,187,327,331,175,175,235,239
C4248,9101113a,0,0,130,130,163,177,203,205,183,183,327,339,181,181,221,229
C4371,9101113a,258,258,122,122,177,177,203,207,183,189,335,335,181,183,0,0
C3936,9101113a,276,276,104,128,159,163,203,207,177,187,335,335,181,187,235,235
C3944,9101113a,248,248,122,128,165,179,205,211,170,177,333,341,185,191,235,235
C3954,9101113a,254,272,124,128,177,177,203,205,177,183,327,343,169,181,227,237
C3955,9101113a,276,276,104,124,177,177,207,213,177,183,0,0,181,181,235,241
C3961,9101113a,278,278,104,130,163,163,203,217,177,179,335,343,183,189,239,239
C3973,9101113a,248,248,124,136,155,167,203,211,177,187,335,343,169,183,237,237
C3977,9101113a,248,254,104,124,155,179,203,209,179,181,335,343,187,191,239,239
C4024,9101113a,248,248,128,128,155,163,207,219,177,187,335,341,185,185,235,239
C4025,9101113a,248,248,104,128,159,179,209,219,187,193,335,341,169,191,237,237
C4028,9101113a,282,282,124,124,163,163,203,217,177,187,329,343,183,187,227,235
C4033,9101113a,0,0,104,130,163,175,0,0,177,179,333,333,169,169,239,239
C4034,9101113a,256,256,104,122,155,165,203,205,179,183,327,329,169,189,235,239
C4039,9101113a,248,248,122,128,163,163,205,209,170,177,333,339,169,179,237,237
C4041,9101113a,0,0,104,122,163,167,203,205,183,189,333,339,187,187,221,239
C4042,9101113a,0,0,122,130,165,165,203,205,179,189,0,0,169,189,221,239
C4043,9101113a,248,258,122,122,173,177,207,211,177,177,0,0,183,191,221,239
C4047,9101113a,274,274,122,130,163,177,203,207,183,187,339,339,169,187,221,235
C4048,9101113a,274,274,104,122,165,175,0,0,183,189,333,339,169,183,221,221
C4059,9101113a,248,276,122,128,157,163,203,211,177,177,333,339,169,189,221,239
C4067,9101113a,260,260,122,130,165,175,207,211,185,187,327,339,169,191,221,239
