"","R2","p-value","R2","p-value"
"With WI pops",0.169499203790399,0.0209947799213643,0.179590879431263,0.303682544721559
"Without WI pops",0.262403869875181,0.00728927068655237,0.571210805821044,0.000922398448711212
"With WI pops",0.151335518347004,0.0281591135274467,NA,NA
"Without WI pops",0.602519858554548,8.10998620567667e-06,NA,NA
