"","R2 Linear","p-value Linear","R2 Quadratic","p-value Quadratic"
"Lat_AllPops",0.18,0.022,0.21,0.24
"Lat_woWI",0.26,0.011,0.61,6e-04
"Lat_WithWI_woNB",0.12,0.085,0.19,0.16
"Lat_woWI_woNB",0.023,0.27,0.4,0.011
"Dist_Edge_AllPops",0.15,0.037,NA,NA
"Dist_Edge_woWI",0.59,2.9e-05,NA,NA
"Dist_Edge_WithWI_woNB",0.079,0.14,NA,NA
"Dist_Edge_woWI_woNB",0.37,0.0097,NA,NA
