"","Longitude","Latitude","PA","MAT","MTwarQ","MTCQ","MAP","PwetM","PDM","precip_season","PwetQ","PDQ","PwarQ","PCQ","MDR","ISO","temp_season","MTwarM","MTCM","temp_range","MTwetQ","MTDQ"
"2",2394110.00969314,1015166.37367238,1,57.4410826315127,161.792146748974,-50.5589173684873,1339.44706369522,141.668488075099,92.0225450960154,15,414.845694069756,288.716571170585,297.415706502052,382.47208485628,98.5138271764565,28.3510641174613,8350.02430648106,230.795139652429,-108.721680427482,339.516820079912,-19.5589173684873,133.792146748974
"3",2373660.34666023,976831.813961852,1,61.2195884588161,166.103696432271,-45.9974737806913,1424.26339074135,156.573018676641,92.6767151089127,17,449.822752462195,297.46932224437,300.688910703186,419.926448894467,91.6415173435574,27,8349.84619565141,228.421928884741,-102.101170212963,330.523099097704,-15.9974737806913,165
"4",2355822.52763961,971663.407715075,1,60.2639330440424,166.13216352805,-48.4721339119153,1429.47084919309,156.773056175166,93,18,456.065636410639,293.820446323558,296.820446323558,426.801703366597,93.9156206323996,27.179553676442,8431.78403314662,231.13216352805,-104.472133911915,335.604297439965,-18.4721339119153,164
"5",2325668.83755929,986582.859580254,1,64.4965250696456,173.809125597686,-48.8117603872837,1298.94558496755,139.563038556634,88.6873994719591,16.3791140150298,408.693430741015,273.250438028593,276.374798943918,383.693430741015,100.503474930354,28,8703.43586265907,247.933486513011,-105.503474930354,353.436961443366,-17.8117603872837,146.809125597686
"6",2253525.17836385,1163349.87255304,1,53.1463610998496,172,-69.2348407297799,1097.46968145956,112.85363890015,80,12,327.85363890015,251.38120182963,255.85363890015,304.85363890015,91.6149551364375,24.6149551364375,9393.14434810777,238.761316236287,-127.38120182963,366.142518065917,-36.2348407297799,89.7613162362871
"8",2300402.77823929,992455.24457681,1,63.9907427508793,174.862228858559,-49.9792408401694,1220.30406007608,129.91961251857,84.9748144637604,15,378.037028996483,261.048530907193,266.018514498241,356.007012587531,101.96555721464,28,8754.6631383797,249.827786073199,-106.133344765032,355.961130838231,-18.9792408401694,147.990742750879
"9",2299057.68930662,988907.095250184,1,64.8160668656167,175,-49.1839331343833,1206.35161691389,127.682748104427,84,15,372.888832916516,258.707269842045,263.975478262382,351.0727660509,102.292730157955,28,8745.92842087288,250,-106.183933134383,356.183933134383,-18.1839331343833,149
"10",2283868.38698779,993853.385573298,1,57.4631745220696,169.445234346035,-57.5304471449667,1232.2313662949,129.921860962897,86.9461794718959,14,377.771961221656,266.483004949826,271.838538415688,356.139056530588,102.017940176035,28,8835.37024763307,244.445234346035,-113.897542453899,358.342776799934,-26.5304471449667,143.13269603081
"11",2283572.44356476,894750.886980721,1,63.2226333488206,155.640293111455,-34.4176597626341,1341.87459402863,149.833152829462,85.708829881317,19,433.124322948145,267.486196532496,270.486196532496,406.666305658924,85.708829881317,28,7525.1053668056,214.417659762634,-86.2508125920963,300.66847235473,-4.70882988131704,130.640293111455
"12",2182299.76788821,1149960.18500058,1,49,175,-82.8763002657877,1149.222289218,116.123699734212,82,12,341.991121905818,260,270.69671934677,319.067818549407,109,26,9943.24981680196,256,-149.876300265788,405.876300265788,-50.8763002657877,126
"13",2197397.96798216,1069090.28672161,1,50.810803728891,171.405401864445,-76.5945981355545,1154.99839527945,115.884144022225,83.7189223138889,12,344.362886180005,259.718922313889,272.843246492223,324.073340293334,112.834778291664,28,9575.06283164655,250.810803728891,-142.734428676102,393.545232404993,-44.4293764272183,95.2810776861111
"14",2197429.03938606,1061697.64289953,1,50,170.779851285079,-76.7798512850786,1162.71324876103,117.014393848333,84.9490114619854,12,347.028787696666,260.75765044373,274.486513190794,326.028787696666,112.728862747064,28,9551.54101813482,249.779851285079,-142.508714032143,392.288565317221,-44.7288627470639,94.0509885380146
"15",2201362.97189723,1040551.60842221,1,53.4608209731045,170.460820973105,-70.4908003378832,1149.22745056576,117.624148372485,84.5391790268955,12.0365906565776,345.393432812007,256.138524775238,269.217090820918,322.866041817546,111.472609005539,28.557578351129,9318.16226238565,248.375851627515,-134.884843297742,383.260694925257,-38.4908003378832,96.4608209731045
"16",2201381.45393166,1031248.25719222,1,52.5407602776143,168.160646439529,-70.9000069462358,1175.93470271053,121.328919975739,86.4056909092094,12.0303266928823,354.117079673864,261.627513258596,273.145051415916,330.17062848704,109.107097626353,28.0535488131763,9234.88321838726,244.237417372999,-133.976777879706,378.214195252705,-38.9232290665298,94.5943090907906
"17",2194439.21566904,1037340.28636911,1,52.5421104792823,169.879182052727,-72.2662660290668,1154.61396441629,117.942609869809,85.1208179472731,12,346.343109260336,257.699525415264,270.724155549784,323.184245764355,110.528695065096,28,9358.9638800405,246.407877117822,-137.616753016698,384.024630134521,-40.6167530166982,95.7203185567464
"18",2195084.72550779,1033592.73057504,1,53.8045862472668,170.2106499458,-70.5734309367062,1142.98360569195,117.195413752733,84.1954137527332,12,343.602899101326,254.586241258199,267.1915662311,320.602899101326,110.6053249729,28.5939363014668,9303.13033310218,246.832632761827,-135.584819608139,382.417452369966,-38.6014774512664,96.8045862472668
"19",2195089.15032963,1025068.98159937,1,52.1575084493631,166.701423065864,-70.8424915506369,1189.88614930178,123.210747701135,87.2985769341363,12,358.704445655835,265.880104121837,276.480594610194,333.349292849842,107.173135129935,28,9196.00226155196,240.817982323943,-133.930320783638,374.748303107581,-38.8424915506369,93.7014230658636
"20",2192283.2402379,1029313.75690512,1,53.9205621189342,169.17139601814,-69.5544493763716,1154.42956516724,119.102758587348,84.8286039818597,12,347.53271887227,257.706919458981,269.403303981816,324.007730367576,109.448620706326,28.2508338992061,9244.81632001218,245.398643696938,-134.253638467777,379.652282164715,-37.7786269724713,96.1713960181403
"21",2193539.90261594,1025181.47061446,1,52.1575084493631,166.701423065864,-70.8424915506369,1189.88614930178,123.210747701135,87.2985769341363,12,358.704445655835,265.880104121837,276.480594610194,333.349292849842,107.173135129935,28,9196.00226155196,240.817982323943,-133.930320783638,374.748303107581,-38.8424915506369,93.7014230658636
"22",2190574.59047544,1027063.63550993,1,53.5033709645204,168.257449878174,-69.9998412075982,1181.07040857551,122.224659776542,86.7328176038493,12,355.695081847027,264.945192638619,274.470422070486,330.45410641587,106.522836000473,28,9209.26856469942,242.018867878411,-133.004786862787,375.023654741198,-38.2433688625506,95.2574498781743
"23",2182258.43606209,1014723.82225282,1,55.3485419837464,167.658913598787,-65.2722012463348,1196.49456266942,126.030714786173,88.3633554861597,12.6742709918732,362.402515973558,270.060885681672,276.007901810553,336.387158580472,102.265833445147,27.6742709918732,9054.86116275366,237.940104437021,-127.272201246335,365.212305683355,-33.9618296312942,96.3485419837463
"24",2175501.86536252,1020240.88169822,1,53.9142403617053,167.947202441796,-68.7458144789238,1196.03268602562,124.584799503082,88.7656499570366,12,359.882451404996,271.661227964011,277.895578006974,334.350449460118,101.755145656289,27,9177.64355221677,237.521497644131,-131.032962080091,368.554459724221,-36.7458144789238,74.3185825530064
"25",2173306.11498952,1015701.84571286,1,56.5970928221936,168.666338665896,-65.3395259599152,1194.07289662339,124.518778994752,89.2593894973759,12.0583552248653,360.170185051097,271.926712165584,276.794923736776,334.111829826232,99.7196678977352,26.9207021702458,9093.50262316668,237.40694916852,-127.201872905296,364.608822073816,-33.3395259599152,44.2207128608303
"26",2175281.36031967,1005991.97123339,1,55.1433769034052,165.21577232289,-64.06281176366,1237.81941767398,131.639436838141,91.9228127526032,12.9276045805155,375.267876084894,282.494645999172,282.644228666054,347.474064751959,96.0109975913883,26.8709985803316,8926.40884307135,230.29437350585,-124.073809355048,354.368182860899,-32.06281176366,94.8136367122222
"27",2136380.59816869,1124111.56435379,1,45.3232613639913,173.323261363991,-90.6272144311474,1090.20386737691,108.325560178978,81.3750843838395,10,312.050110668605,247.474719257306,273.978392888178,285.449100979253,114,27,10162.4811671944,252.372785568853,-160,412.372785568853,-58.3016542521692,-33.3016542521692
"28",2175638.83450079,999606.552108195,1,57.9288709573676,166.252078328195,-60.5077491071149,1234.31681801469,132.342422659852,91.1078313944084,13.0678234043049,376.792676714112,279.886874118743,280.314607245651,348.724853309807,95.3599097226029,27,8828.09571785698,230.18425492389,-119.966603286552,350.150858210441,-28.5755725114197,135.883026317739
"29",2128712.49053732,1117448.38656242,1,43.5677707678532,171.983252213888,-93.4322292321468,1094.28348338566,108.545771091123,81.5457710911234,10,312.052794719405,245.939252860429,276.448977018258,285.052794719405,113,27,10217.8801879136,249.983252213889,-162.432229232147,412.415481446035,-60.4322292321468,-35.0167477861116
"30",2125875.56441719,1116359.26145478,1,43.3605371548085,171.360537154809,-93.687708202633,1091.58323565362,107.972798663698,80.9245533062565,10,309.945597327396,244.488569457704,277.230680332941,282.924553306256,113,27,10218.8692543099,249.360537154809,-162.687708202633,412.048245357441,-60.687708202633,-35.6122615088895
"31",2155931.55628889,1014199.87313193,1,57.9792734041292,172.949425374745,-65.9954392832435,1167.14295740698,119.092027816996,87.0505746252545,11.0207265958708,346.033547734547,266.142602442251,275.046013908498,322.987533826049,96.7943567585436,26,9267.56577117826,239.924138062118,-126.949425374745,366.873563436864,-33.9954392832435,41.9792734041292
"32",2155679.16547241,1008072.54381736,1,55.9251082511036,170.633553119125,-67.4953316402428,1189.06502991326,121.714280076772,89.3664468808746,11,352.795007034419,272.635886817112,278.51798113405,328.351917649266,94.556910614847,25.3083694170345,9231.90784542243,236.190463733972,-126.880343561556,363.070807295528,-35.4953316402428,39.9251082511036
"33",2161463.91332402,989606.494164892,1,57.6356894165642,165.390083317905,-59.572179014607,1239.74836008778,132.093050940338,91.713850897681,13,378.145558877017,280.078161481117,280.078161481117,351.535642194922,90.4534745298308,26,8782.34052459891,226.843557847735,-117.572179014607,344.415736862342,-28.1820956967023,165.390083317905
"34",2157031.98857154,1000824.22555832,1,55,166.176184263393,-65.8884367676465,1234.30104696796,128.820733443331,93.6476314732131,12,370.465282623269,283.892869925051,284.183699714073,343.641466886663,92.1761842633934,26,9021.11793048546,229.413907264552,-124.290829789022,353.704737053574,-34.1761842633934,75.0078637189951
"35",2163998.09340516,975954.019346402,1,57.9545282711317,161.110178184045,-56.1444296714208,1278.9038282803,138.739782023788,92.0454717288683,14.8499602078331,397.27042792098,282.935293544824,282.935293544824,369.318304013918,87.0989579425524,26,8494.76064629807,219.209136126597,-112.150039792167,331.359175918764,-24.2011216417814,161.110178184045
"36",2119292.89833846,1109516.69524707,1,43.8806778692503,172.49260192496,-93.1965242956842,1078.9243457028,106.430195910106,79.3108737793561,10,305.213385565383,239.741069689462,275.238644261499,278.094063434633,113,27,10232.5068546238,249.88067786925,-162.196524295684,412.077202164935,-60.1965242956842,-34.2386442614994
"37",2159540.9993291,985099.65959459,1,58.3946825270708,164.834851780874,-57.8744300006099,1247.43601465896,133.131602010343,92.0670924175677,13.7476605767111,381.988182986009,280.501353164375,280.501353164375,354.856580975666,89.1542836217301,25.9832268956081,8688.21285352464,224.907852705437,-115.793147303443,340.70100000888,-26.7931473034431,164.834851780874
"38",2140755.89525867,1039146.63451273,1,55.3273468644632,177.840443638001,-75.3453062710737,1098.28161384594,109.052230274805,81.0522302748055,10,316.48403768888,249.104460549611,269.182884371492,294.48403768888,103.672653135537,26,9764.43235133696,249.672653135537,-139.01795940661,388.690612542147,-43.2379801838803,-17.2114897827444
"39",2116441.43529466,1106487.64104233,1,43.2758397579093,172.158904657653,-93.8677347354201,1084.8899342363,107.538616191364,79.6975208490173,10,307.077232382728,240.538616191364,276.682190684693,279.236137040381,112.302479150983,27,10227.6428691435,249.158904657653,-162.86773473542,412.026639393073,-60.8677347354201,-34.7507996351641
