"","Longitude","Latitude"
"1",-62.728187,45.833405
"2",-63.033333,45.033333
"3",-63.46725,44.786715
"4",-63.716392,44.796113
"5",-64.03249999,45.00000004
"6",-64.165517,46.614276
"7",-64.223035,45.197674
"8",-64.32844,45.117347
"9",-64.36132,45.09271
"10",-64.533519,45.174269
"11",-64.96831,44.38167
"12",-65.160435,46.702836
"13",-65.31877,46.01288
"14",-65.35059,45.95345
"15",-65.39142,45.773113
"16",-65.431465,45.698371
"17",-65.495048,45.765895
"18",-65.50287,45.73407
"19",-65.539571,45.6656
"20",-65.557611,45.707194
"21",-65.559137,45.670644
"22",-65.589426,45.693682
"23",-65.75,45.616667
"24",-65.81391,45.67894
"25",-65.86172,45.64826
"26",-65.8775,45.56496
"27",-65.87818,46.61801
"28",-65.90002,45.51267
"29",-66.00795,46.58463
"30",-66.05,46.583333
"31",-66.093286,45.681982
"32",-66.122472,45.633334
"33",-66.12552,45.46955
"34",-66.135553,45.571451
"35",-66.150241,45.353039
"36",-66.16607,46.54552
"37",-66.169338,45.438321
"38",-66.184884,45.922588
"39",-66.21658,46.52859
"40",-66.22008,46.05904
"41",-66.246905,45.999817
"42",-66.27171,45.89312
"43",-66.28997,45.87606
"44",-66.35604,45.8932
"45",-66.41236,45.91625
"46",-66.415271,45.81892
"47",-66.46942,45.85464
"48",-66.4875,45.89002
"49",-66.53109,45.78716
"50",-66.576033,45.902238
"51",-66.576626,46.002403
"52",-66.599475,45.983323
"53",-66.60488,45.925868
"54",-66.615181,46.192917
"55",-66.63223,45.94715
"56",-66.638585,46.258053
"57",-66.64687,45.9617
"58",-66.671308,46.270536
"59",-66.68562,45.98744
"60",-66.691402,45.888311
"61",-66.69433,45.87066
"62",-66.699537,45.817803
"63",-66.727932,45.802892
"64",-66.751103,45.903877
"65",-66.762518,45.831323
"66",-66.78109,45.96775
"67",-66.8311886,45.9847135
"68",-66.864538,45.860097
"69",-66.90788,46.0717
"70",-66.935929,45.823308
"71",-66.946516,45.952905
"72",-66.967345,45.847891
"73",-67.109595,45.038827
"74",-67.125633,45.019813
"75",-67.168515,45.070643
"76",-67.24504,45.96681
"77",-67.333333,45.216667
"78",-67.42652,46.85066
"79",-67.43421,46.86742
"80",-67.46123,45.89587
"81",-67.46809,46.81286
"82",-67.48192,46.79289
"83",-67.51776,46.7825
"84",-67.52622,46.0147
"85",-67.54913,46.03562
"86",-67.59586,46.15875
"87",-67.62463,45.90866
"88",-67.6671,46.17584
"89",-67.69657,46.76146
"90",-67.71795,46.81403
"91",-67.71908,46.67564
"92",-67.72203,46.22078
"93",-67.73926,46.54635
"94",-67.74245,46.58837
"95",-67.74743,45.8016
"96",-67.76267,46.11394
"97",-67.76541,46.80829
"98",-68.71656,44.88669
"99",-69.00382,44.34901
"100",-69.0755,44.2969
"101",-69.13334,44.69566
"102",-69.13744,44.12772
"103",-69.16615,44.43433
"104",-69.17834,44.96462
"105",-69.25361,44.67914
"106",-69.467097,44.794284
"107",-69.61061,44.80562
"108",-69.64785,44.4299
