"","Longitude","Latitude","PA"
"1",2382857.83244093,1111671.43265676,"1"
"2",2394110.00969314,1015166.37367238,"1"
"3",2373660.34666023,976831.813961852,"1"
"4",2355822.52763961,971663.407715075,"1"
"5",2325668.83755929,986582.859580254,"1"
"6",2253525.17836385,1163349.87255304,"1"
"7",2304647.78092336,1003980.72180278,"1"
"8",2300402.77823929,992455.24457681,"1"
"9",2299057.68930662,988907.095250184,"1"
"10",2283868.38698779,993853.385573298,"1"
"11",2283572.44356476,894750.886980721,"1"
"12",2182299.76788821,1149960.18500058,"1"
"13",2197397.96798216,1069090.28672161,"1"
"14",2197429.03938606,1061697.64289953,"1"
"15",2201362.97189723,1040551.60842221,"1"
"16",2201381.45393166,1031248.25719222,"1"
"17",2194439.21566904,1037340.28636911,"1"
"18",2195084.72550779,1033592.73057504,"1"
"19",2195089.15032963,1025068.98159937,"1"
"20",2192283.2402379,1029313.75690512,"1"
"21",2193539.90261594,1025181.47061446,"1"
"22",2190574.59047544,1027063.63550993,"1"
"23",2182258.43606209,1014723.82225282,"1"
"24",2175501.86536252,1020240.88169822,"1"
"25",2173306.11498952,1015701.84571286,"1"
"26",2175281.36031967,1005991.97123339,"1"
"27",2136380.59816869,1124111.56435379,"1"
"28",2175638.83450079,999606.552108195,"1"
"29",2128712.49053732,1117448.38656242,"1"
"30",2125875.56441719,1116359.26145478,"1"
"31",2155931.55628889,1014199.87313193,"1"
"32",2155679.16547241,1008072.54381736,"1"
"33",2161463.91332402,989606.494164892,"1"
"34",2157031.98857154,1000824.22555832,"1"
"35",2163998.09340516,975954.019346402,"1"
"36",2119292.89833846,1109516.69524707,"1"
"37",2159540.9993291,985099.65959459,"1"
"38",2140755.89525867,1039146.63451273,"1"
"39",2116441.43529466,1106487.64104233,"1"
"40",2133332.76454673,1053679.48080265,"1"
"41",2133634.02952285,1046423.33981144,"1"
"42",2135801.40908275,1033877.85203892,"1"
"43",2135154.01707693,1031549.67967417,"1"
"44",2129938.96506109,1031989.50659038,"1"
"45",2125188.72618599,1033316.26425511,"1"
"46",2128516.28215478,1022309.98926144,"1"
"47",2123454.24082835,1025111.42579085,"1"
"48",2120916.37955506,1028684.64637914,"1"
"49",2121601.73201908,1016142.67280498,"1"
"50",2114319.15138436,1028080.95334366,"1"
"51",2110664.68074373,1039332.915305,"1"
"52",2109766.26840559,1036678.42156607,"1"
"53",2111461.55700222,1030095.78386043,"1"
"54",2101125.26927795,1059901.87320643,"1"
"55",2108793.97296242,1031880.87463509,"1"
"56",2097161.32193123,1066708.92227522,"1"
"57",2107252.90216609,1033192.05791254,"1"
"58",2094450.36667733,1067389.42722805,"1"
"59",2103635.18011368,1035227.14721988,"1"
"60",2106795.96526674,1023945.74225141,"1"
"61",2107226.52921702,1021894.63760142,"1"
"62",2108763.25984009,1015831.34585949,"1"
"63",2107320.32107447,1013521.99529753,"1"
"64",2102083.35100138,1024372.01469832,"1"
"65",2103890.53397687,1015953.45017212,"1"
"66",2097708.33009649,1030896.00823028,"1"
"67",2093619.15497128,1031697.77059359,"1"
"68",2095754.14435722,1016932.61088851,"1"
"69",2085185.22244106,1039799.60678631,"1"
"70",2092092.5092543,1011213.36286026,"1"
"71",2086736.20991721,1025573.8625262,"1"
"72",2089026.85770638,1013289.03413038,"1"
"73",2107793.37597446,918977.644627875,"1"
"74",2107333.5424928,916477.639942979,"1"
"75",2102502.26790923,921256.072059282,"1"
"76",2065469.71596466,1020602.70839342,"1"
"77",2085714.11541791,934082.963055469,"1"
"78",2021853.8162661,1116307.74490819,"1"
"79",2020739.21757987,1118032.54949994,"1"
"80",2052899.1132059,1007907.522429,"1"
"81",2020324.23950525,1111161.24561116,"1"
"82",2020073.04400637,1108615.53895048,"1"
"83",2017974.13864297,1106680.96207205,"1"
"84",2044213.30596246,1019908.30362319,"1"
"85",2041887.805739,1021774.75646188,"1"
"86",2034343.06268564,1034662.43407004,"1"
"87",2041053.89195942,1005822.37195115,"1"
"88",2028799.5556066,1035064.20554094,"1"
"89",2006415.7758627,1100512.85235069,"1"
"90",2003121.72317069,1105990.89554467,"1"
"91",2007844.94298605,1090354.59854177,"1"
"92",2023424.09665198,1038962.23258453,"1"
"93",2010937.61599578,1075338.63154703,"1"
"94",2009260.59435874,1080012.6279848,"1"
"95",2036197.72388197,991095.728729795,"1"
"96",2024305.46918427,1026034.22257641,"1"
"97",2000059.16218345,1104341.26047117,"1"
"98",1999010.18268793,866972.77954477,"1"
"99",1996391.46869057,799957.981737417,"1"
"100",1992960.08630945,792537.893552827,"1"
"101",1975615.06793748,836573.617754275,"1"
"102",1994089.69503038,772037.658534119,"1"
"103",1981893.81754914,806232.584287412,"1"
"104",1963521.08514626,866158.817883193,"1"
"105",1967551.17716353,832197.386887365,"1"
"106",1948501.09739379,840862.426388224,"1"
"107",1937868.18730895,839208.561064325,"1"
"108",1947389.98995362,795746.506406748,"1"
"109",1935554.5323223,832369.631356244,"1"
"110",1933851.65583673,834484.578611202,"1"
"111",1929257.00201833,815749.513330308,"1"
"112",1940346.50142086,772645.734969967,"1"
"113",1917298.57725713,843597.650721536,"1"
"114",1907226.33321458,781711.862730101,"1"
"115",1833883.07014195,1005603.62194944,"1"
"116",1880720.40502266,810947.778848743,"1"
"117",1791017.96730367,1104329.15017434,"1"
"118",1904577.76544216,669951.378467182,"1"
"119",1793888.60045013,1072120.43056875,"1"
"120",1792861.57988076,1071125.56798464,"1"
"121",1954540.42625215,470726.290244327,"1"
"122",1784695.04152664,1075890.44045083,"1"
