"","Region","Mean Longitude","Mean Latitude","Distance to Range Edge (km)","Number of Individuals","MLG","Number of Alleles","Allelic Richness","Expected Heterozygosity"
"1","New Brunswick",-66.0649746336957,46.569220751087,95.8269211492848,92,91,122,7.25899356080791,0.789511994125151
"2","New Brunswick",-67.6986839090909,46.6681342909091,109.816456592912,110,109,131,7.89020941390068,0.829547865844718
"3","New Brunswick",-65.6398623214286,45.7310288482143,160.888047473514,112,112,143,8.19231802307498,0.821296613822456
"4","New Brunswick",-67.6512319607843,46.0501162745098,168.418610994889,102,102,139,8.14861221881957,0.834981066544893
"5","New Brunswick",-66.4238415678414,45.8714787837004,168.257589234406,227,225,144,7.71041964301085,0.819115177335195
"6","New Brunswick",-66.7397802674603,45.9914942103175,159.792522117728,126,126,140,7.99435326190263,0.827942446557698
"7","Ontario",-78.5248268875,44.6047330833333,284.583111633472,24,24,112,8.51171683046041,0.838712284734486
"8","Quebec",-77.08350133,45.393930585,179.547071757311,20,20,90,7.36494341422044,0.780199767537229
"9","Ontario",-79.3679764422857,44.138199862,358.925115567866,35,35,131,9.18261165870971,0.851634939858782
"10","Ontario",-80.0771267261818,43.9994095887273,372.951993786439,55,55,143,8.91249881931789,0.848057135042603
"11","Quebec",-75.512821814918,45.032319587377,257.242938427986,61,61,135,8.3286175855492,0.833769728654847
"12","United States",-79.2504961666667,41.6377319701754,517.251083387101,114,114,168,9.16337791701208,0.846136579143201
"13","United States",-85.9110113727941,35.9065582014706,450.780779368299,136,136,157,8.40789796622104,0.834974236936454
"14","United States",-73.0012628428571,44.4450498619048,316.231354715893,21,21,101,8.04616135901094,0.817895519115031
"15","United States",-72.6936191454545,44.0359461757576,273.456693784887,33,33,126,8.73521347490159,0.841348851035799
"16","United States",-88.6261559259259,45.4715859259259,186.077579845187,27,27,86,6.6951760184675,0.774292150217451
"17","United States",-79.3791539928571,38.5823257428571,353.111772538082,28,28,121,8.72930613323797,0.837274552187275
"18","United States",-72.5503429619048,42.9882235190476,236.843336592761,21,21,105,8.31008991650117,0.815418984289331
"19","United States",-86.1150879196721,37.1969432459016,573.30184020729,61,61,155,9.31005103471138,0.850880576964301
"20","United States",-91.3333576619835,37.0544802884298,327.62208362686,121,121,165,8.7408806026671,0.830106826167767
"21","United States",-90.6663629566667,34.64848319,278.050184985155,30,30,117,8.33778961607541,0.79771888209426
"22","United States",-88.8316948461539,42.8305764615385,454.114855677998,39,39,94,6.46567555404934,0.750639718496717
"23","United States",-89.1115657222222,44.5454861666667,291.019527065466,18,18,83,6.79672449238753,0.756998556998557
"24","United States",-78.5184912954545,38.3586704818182,274.006911897028,22,22,121,9.2307647125235,0.839111053161429
