"","Ia","p.Ia","rbarD","p.rD"
"B114:B159",0.01,0,0.01,0
"B114:WGA",0.08,0.41,0.08,0.4
"B114:A5_2",0.02,0.27,0.02,0.27
"B114:B157",0.01,0.14,0.01,0.14
"B114:B212_2",0,0.14,0,0.14
"B114:B121",0,0.25,0,0.25
"B114:B147",0.06,0.01,0.06,0.01
"B114:B249",0,0.17,0.01,0.17
"B114:B262",0.01,0.04,0.01,0.04
"B114:B264",-0.01,0.39,-0.01,0.39
"B159:WGA",0.01,0.35,0.01,0.35
"B159:A5_2",-0.02,0.77,-0.02,0.77
"B159:B157",-0.07,1,-0.07,1
"B159:B212_2",0,0.07,0,0.07
"B159:B121",0.02,0.01,0.02,0.01
"B159:B147",-0.04,0.91,-0.04,0.91
"B159:B249",-0.01,0.77,-0.01,0.77
"B159:B262",0,0.12,0,0.12
"B159:B264",0.02,0.21,0.02,0.22
"WGA:A5_2",0.01,0.36,0.01,0.36
"WGA:B157",0.02,0,0.02,0
"WGA:B212_2",-0.01,0.47,-0.01,0.47
"WGA:B121",0.01,0.01,0.01,0.01
"WGA:B147",0.01,0,0.01,0
"WGA:B249",0.01,0.03,0.01,0.03
"WGA:B262",-0.01,0.63,-0.01,0.64
"WGA:B264",0,0.58,0,0.58
"A5_2:B157",0.01,0.08,0.01,0.08
"A5_2:B212_2",0.03,0.68,0.03,0.68
"A5_2:B121",0,0.1,0,0.1
"A5_2:B147",0.03,0.06,0.03,0.06
"A5_2:B249",0.01,0.04,0.01,0.03
"A5_2:B262",-0.01,0.66,-0.01,0.66
"A5_2:B264",0.01,0.14,0.01,0.14
"B157:B212_2",0.02,0.15,0.02,0.15
"B157:B121",0,0.58,0,0.58
"B157:B147",0.03,0,0.03,0
"B157:B249",0.01,0.01,0.01,0.01
"B157:B262",-0.01,0.85,-0.01,0.85
"B157:B264",0.01,0.05,0.01,0.05
"B212_2:B121",-0.02,0.94,-0.02,0.94
"B212_2:B147",0.01,0.14,0.01,0.14
"B212_2:B249",0.01,0.02,0.01,0.02
"B212_2:B262",-0.02,0.82,-0.02,0.82
"B212_2:B264",-0.01,0.36,-0.01,0.36
"B121:B147",0.03,0.15,0.03,0.14
"B121:B249",0.04,0.01,0.04,0.01
"B121:B262",0,0.8,0,0.8
"B121:B264",0.01,0,0.01,0
"B147:B249",-0.01,0.88,-0.01,0.88
"B147:B262",0.17,0.02,0.17,0.02
"B147:B264",0,0.32,0,0.32
"B249:B262",-0.02,0.97,-0.02,0.97
"B249:B264",0.02,0.05,0.02,0.05
"B262:B264",0.01,0.01,0.01,0.01
