"","scrubbed_species_binomial","verbatim_family","verbatim_scientific_name","family_matched","name_matched","name_matched_author","higher_plant_group","scrubbed_taxonomic_status","scrubbed_family","scrubbed_author","native_status","native_status_reason","native_status_sources","is_introduced","native_status_country","native_status_state_province","native_status_county_parish","country","state_province","county","locality","latitude","longitude","date_collected","datasource","dataset","dataowner","custodial_institution_codes","collection_code","datasource_id","catalog_number","recorded_by","record_number","date_collected","identified_by","date_identified","identification_remarks","is_cultivated_observation","is_cultivated_in_region","is_location_cultivated","is_new_world","observation_type"
"1","Juglans cinerea","Juglandaceae","Juglans cinerea L.","Juglandaceae","Juglans cinerea","L.","flowering plants","Accepted","Juglandaceae","L.","N","Native to region, as per checklist","vascan",0,"N","N",NA,"Canada","Quebec","Montreal","Mont Royal, Montréal",45.5,-73.6,1932-05-18,"GBIF","Université de Montréal Biodiversity Centre","Université de Montréal Biodiversity Centre","Université de Montréal Biodiversity Centre","MT",2994,"473543373","Dansereau, Antonio, ptre","344",1932-05-18,"Dansereau, Antonio, ptre",NA,NA,1,0,NA,1,"specimen"
"2","Juglans cinerea","Juglandaceae","Juglans cinerea L.","Juglandaceae","Juglans cinerea","L.","flowering plants","Accepted","Juglandaceae","L.","N","Native to region, as per checklist","vascan",0,"N","N",NA,"Canada","Quebec",NA,"Mont Saint-Hilaire.",45.552222,-73.163889,1976-05-28,"GBIF","Université Laval","Université Laval","Université Laval","QFA",2288,"1248723250","Mallard, André","nd",1976-05-28,"Mallard, André",NA,NA,0,0,NA,1,"specimen"
"3","Juglans cinerea","Juglandaceae","Juglans cinerea L.","Juglandaceae","Juglans cinerea","L.","flowering plants","Accepted","Juglandaceae","L.","P","Present in one or more checklists for region, status not indicated","usda",0,"P","P",NA,"United States","Delaware","Kent",NA,39.232439,-75.63755,2012-04-02,"FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams",NA,NA,65,NA,NA,"4",2012-04-02,NA,NA,NA,0,0,NA,1,"plot"
"4","Juglans cinerea","Juglandaceae","Juglans cinerea L.","Juglandaceae","Juglans cinerea","L.","flowering plants","Accepted","Juglandaceae","L.","P","Present in one or more checklists for region, status not indicated","usda",0,"P","P",NA,"United States","Minnesota","Houston",NA,43.63,-91.57,1990-03-01,"FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams",NA,NA,65,NA,NA,"7",1990-03-01,NA,NA,NA,0,0,NA,1,"plot"
"5","Juglans cinerea","Juglandaceae","Juglans cinerea L.","Juglandaceae","Juglans cinerea","L.","flowering plants","Accepted","Juglandaceae","L.","P","Present in one or more checklists for region, status not indicated","usda",0,"P","P",NA,"United States","Virginia","Henry",NA,36.64,-79.78,1985-04-01,"FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams",NA,NA,65,NA,NA,"1",1985-04-01,NA,NA,NA,0,0,NA,1,"plot"
"6","Juglans cinerea","Juglandaceae","Juglans cinerea L.","Juglandaceae","Juglans cinerea","L.","flowering plants","Accepted","Juglandaceae","L.","P","Present in one or more checklists for region, status not indicated","usda",0,"P","P",NA,"United States","Minnesota","Winona",NA,44.02,-91.64,1990-04-01,"FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams",NA,NA,65,NA,NA,"2",1990-04-01,NA,NA,NA,0,0,NA,1,"plot"
"7","Juglans cinerea","Juglandaceae","Juglans cinerea L.","Juglandaceae","Juglans cinerea","L.","flowering plants","Accepted","Juglandaceae","L.","P","Present in one or more checklists for region, status not indicated","usda",0,"P","P",NA,"United States","Virginia","Roanoke",NA,37.33,-80.22,1976-08-01,"FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams",NA,NA,65,NA,NA,"4",1976-08-01,NA,NA,NA,0,0,NA,1,"plot"
"8","Juglans cinerea","Juglandaceae","Juglans cinerea L.","Juglandaceae","Juglans cinerea","L.","flowering plants","Accepted","Juglandaceae","L.","P","Present in one or more checklists for region, status not indicated","usda",0,"P","P",NA,"United States","Minnesota","Scott",NA,44.72,-93.47,1990-03-01,"FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams",NA,NA,65,NA,NA,"14",1990-03-01,NA,NA,NA,0,0,NA,1,"plot"
"9","Juglans cinerea","Juglandaceae","Juglans cinerea L.","Juglandaceae","Juglans cinerea","L.","flowering plants","Accepted","Juglandaceae","L.","N","Native to region, as per checklist","vascan",0,"N","N",NA,"Canada","Ontario",NA,"King Tp., Pottageville Swamp ESA, SE portion of the ESA on moraine slope and adjacent lowlands.; habitat: Rich mesic Sugar Maple forest. Aspect: W.",44.0132498,-79.6374034,1983-06-03,"TRT","Royal Ontario Museum","Royal Ontario Museum","Royal Ontario Museum","TRT",NA,"254381","Varga, S.; Toronto Field Naturalists Botany Group",NA,1983-06-03,"Varga, S.",NA,NA,0,0,NA,1,"specimen"
"10","Juglans cinerea","Juglandaceae","Juglans cinerea L.","Juglandaceae","Juglans cinerea","L.","flowering plants","Accepted","Juglandaceae","L.","P","Present in one or more checklists for region, status not indicated","usda",0,"P","P",NA,"United States","Virginia","Highland",NA,38.542196,-79.580695,2008-07-31,"FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams",NA,NA,65,NA,NA,"11",2008-07-31,NA,NA,NA,0,0,NA,1,"plot"
"11","Juglans cinerea","Juglandaceae","Juglans cinerea L.","Juglandaceae","Juglans cinerea","L.","flowering plants","Accepted","Juglandaceae","L.","P","Present in one or more checklists for region, status not indicated","usda",0,"P",NA,NA,"United States","Rhode","Washington","Narrangansett, along Kinney Ave., between Lawrence Drive junction and Crooked Brook Crossing United States, Rhode Island, Washington Co, Narrangansett, along Kinney Ave., between Lawrence Drive junction and Crooked Brook Crossing (41 Deg 25'12""N, 71 Deg 28'05""W)",41.42,-71.468056,2014-07-17,"GBIF","UTEP","UTEP","UTEP","Plant specimens",3326,"1500204105","Collector(s): Andrew C. Sanders","41203",2014-07-17,"Andrew C. Sanders",2014-07-17,NA,0,0,NA,1,"specimen"
"12","Juglans cinerea","Juglandaceae","Juglans cinerea L.","Juglandaceae","Juglans cinerea","L.","flowering plants","Accepted","Juglandaceae","L.","P","Present in one or more checklists for region, status not indicated","usda",0,"P","P",NA,"United States","Virginia","Pulaski",NA,36.92,-80.75,1991-11-01,"FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams",NA,NA,65,NA,NA,"1002",1991-11-01,NA,NA,NA,0,0,NA,1,"plot"
"13","Juglans cinerea","Juglandaceae","Juglans cinerea L.","Juglandaceae","Juglans cinerea","L.","flowering plants","Accepted","Juglandaceae","L.","N","Native to region, as per checklist","vascan",0,"N","N",NA,"Canada","Quebec",NA,"Environs d'Ottawa.",45.47654,-75.70127,1919-05-01,"GBIF","MNHN","MNHN","MNHN","P",3541,"730897002","Marie-Victorin [Frère]",NA,1919-05-01,NA,NA,NA,0,0,NA,1,"specimen"
"14","Juglans cinerea","Juglandaceae","Juglans cinerea L.","Juglandaceae","Juglans cinerea","L.","flowering plants","Accepted","Juglandaceae","L.","P","Present in one or more checklists for region, status not indicated","usda",0,"P","P",NA,"United States","Wisconsin","Pierce",NA,44.739542,-92.23378,2001-07-09,"FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams",NA,NA,65,NA,NA,"5",2001-07-09,NA,NA,NA,0,0,NA,1,"plot"
