"","associatedsequences","barcodevalue","basisofrecord","bed","canonicalname","catalognumber","class","collectioncode","collectionid","collectionname","collector","commonname","continent","coordinateuncertainty","country","countrycode","county","datasetid","datecollected","datemodified","dqs","earliestageorloweststage","earliesteonorlowesteonothem","earliestepochorlowestseries","earliesteraorlowesterathem","earliestperiodorlowestsystem","etag","eventdate","family","fieldnumber","formation","genus","geologicalcontextid","geopoint.lon","geopoint.lat","group","hasImage","hasMedia","highertaxon","highestbiostratigraphiczone","individualcount","infraspecificepithet","institutioncode","institutionid","institutionname","kingdom","latestageorhigheststage","latesteonorhighesteonothem","latestepochorhighestseries","latesteraorhighesterathem","latestperiodorhighestsystem","lithostratigraphicterms","locality","lowestbiostratigraphiczone","maxdepth","maxelevation","member","mindepth","minelevation","municipality","occurrenceid","order","phylum","query","recordnumber","recordset","scientificname","sort","specificepithet","startdayofyear","stateprovince","taxonid","taxonomicstatus","taxonrank","typestatus","uuid","verbatimeventdate","verbatimlocality","version","waterbody"
"1268",NA,NA,"preservedspecimen",NA,"juglans cinerea","673740","magnoliopsida","botany",NA,NA,"j. davis",NA,"north america",NA,"united states","usa",NA,"7ddf754f-d193-4cc9-b351-99906754a03b","1911-08-21","2019-09-22T23:50:38.872592+00:00",0.231884057971014,NA,NA,NA,NA,NA,"26065526a4919b4a2b007f66ee01660d11fa4228",NA,"juglandaceae",NA,NA,"juglans",NA,NA,NA,NA,TRUE,TRUE,"plantae, dicotyledonae, juglandales, juglandaceae",NA,1,NA,"us","http://biocol.org/urn:lsid:biocol.org:col:34871",NA,"plantae",NA,NA,NA,NA,NA,NA,"wayland.",NA,NA,NA,NA,NA,NA,NA,"http://n2t.net/ark:/65665/32b16248a-2849-4987-8439-f3b06ec6d684","fagales","tracheophyta",NA,"609","a6eee223-cf3b-4079-8bb2-b77dad8cae9d","juglans cinerea",NA,"cinerea",233,"missouri","3054352","accepted","species",NA,"9941ed81-dafd-48a1-9259-bd5182922a70",NA,NA,NA,NA
"1269",NA,NA,"preservedspecimen",NA,"juglans cinerea","963521","magnoliopsida","plants","f292c83d-305c-4b22-97cc-cd9c72e2931e",NA,"nee, m. h.",NA,"north america",NA,"united states","usa","richland","7ddf754f-d193-4cc9-b351-99906754a03b","2016-04-22","2021-04-19T22:23:00.454110+00:00",0.188405797101449,NA,NA,NA,NA,NA,"0dd47af79b70c4dd805add5a08bbe66dd6359371",NA,"juglandaceae",NA,NA,"juglans",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,"min",NA,NA,"plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a85fa216-b43d-4d89-924a-aae41afa7085","fagales","tracheophyta",NA,NA,"e2def7e2-1455-4856-9823-6d3738417d24","juglans cinerea",NA,"cinerea",113,"wisconsin","3054352","accepted","species",NA,"99608d91-fd71-4a16-8cc4-4bfa21df1cb3",NA,NA,NA,NA
"1270",NA,NA,"preservedspecimen",NA,"juglans cinerea","etsu018534","magnoliopsida",NA,"1d328472-3b59-43d8-834c-385410415424",NA,NA,NA,"north america",NA,"united states","usa","russell","7ddf754f-d193-4cc9-b351-99906754a03b",NA,"2020-11-06T22:04:43.982382+00:00",0.144927536231884,NA,NA,NA,NA,NA,"47df9ac694f028cd0ee56cfde5255b19a6f6d9b9",NA,"juglandaceae",NA,NA,"juglans",NA,NA,NA,NA,TRUE,TRUE,"plantae|magnoliophyta|eudicots|core eudicots|fabids|rosids|fagales|juglandaceae|juglans",NA,NA,NA,"etsu",NA,NA,"plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ffd65624-0dba-4c6b-ab11-dde553901bcc","fagales","tracheophyta",NA,NA,"21b563bc-70c2-46d5-bce8-2489db2db3d8","juglans cinerea",NA,"cinerea",NA,"virginia","3054352","accepted","species",NA,"99866691-645f-4c88-b6de-3244f22646aa",NA,NA,NA,NA
"1271",NA,NA,"preservedspecimen",NA,"juglans cinerea","tenn-v-0077162","magnoliopsida",NA,"565b6f19-288f-4614-a4c9-b09448e96547",NA,"r. dale thomas. a. j. sharp",NA,"north america",NA,"united states","usa","blount","7ddf754f-d193-4cc9-b351-99906754a03b","1966-10-15","2020-10-14T13:41:04.379841+00:00",0.202898550724638,NA,NA,NA,NA,NA,"3718ff1690259bebb72ee68880463aba87069c52",NA,"juglandaceae",NA,NA,"juglans",NA,NA,NA,NA,FALSE,FALSE,"plantae|magnoliophyta|eudicots|core eudicots|fabids|rosids|fagales|juglandaceae|juglans",NA,NA,NA,"tenn",NA,NA,"plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"b0cdb00c-c483-4db7-ae73-bfca7e5d5cbc","fagales","tracheophyta",NA,NA,"d53132e6-7997-4850-8607-4fec5a3f9c3f","juglans cinerea",NA,"cinerea",288,"tennessee","3054352","accepted","species",NA,"9999816e-a0ee-4160-8677-b4e948633220",NA,NA,NA,NA
"1272",NA,NA,"preservedspecimen",NA,"juglans cinerea","yu.056226","magnoliopsida","yu","urn:lsid:biocol.org:col:14791",NA,"a. l. winton",NA,"north america",7925,"united states","usa","new haven county","7ddf754f-d193-4cc9-b351-99906754a03b",NA,"2016-01-27T21:25:22.884015+00:00",0.202898550724638,NA,NA,NA,NA,NA,"7501d7fefb54f3aefb17217e87c69a9c2d7d918b",NA,"juglandaceae",NA,NA,"juglans",NA,-72.9216,41.396,NA,TRUE,TRUE,NA,NA,NA,NA,"yale peabody museum of natural history",NA,NA,"plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hamden","urn:uuid:c03a61af-1b17-4fe7-aa7e-916f77aa7164","fagales","tracheophyta",NA,NA,"7a8d946d-083f-4d2a-9cc9-cd590398194f","juglans cinerea",NA,"cinerea",NA,"connecticut","3054352","accepted","species",NA,"99a2c592-0f95-4b03-b6c3-1b369b756fd6",NA,NA,NA,NA
"1273",NA,NA,"preservedspecimen",NA,"juglans cinerea","ecuh0000736","magnoliopsida",NA,"c31f7b34-ad1c-4b15-828e-b44954d2f567",NA,NA,NA,"north america",NA,"united states","usa","haywood","7ddf754f-d193-4cc9-b351-99906754a03b",NA,"2020-11-06T21:51:33.316969+00:00",0.159420289855072,NA,NA,NA,NA,NA,"1d6f0e7ce09b952ab831e3dbde507ba85bf7176b",NA,"juglandaceae",NA,NA,"juglans",NA,NA,NA,NA,TRUE,TRUE,"plantae|magnoliophyta|eudicots|core eudicots|fabids|rosids|fagales|juglandaceae|juglans",NA,NA,NA,"ecuh",NA,NA,"plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"e4abd135-6a22-4128-a38b-d024a136da21","fagales","tracheophyta",NA,NA,"f5d395b8-c3c9-43df-b4ff-63d65c6a971e","juglans cinerea",NA,"cinerea",NA,"north carolina","3054352","accepted","species",NA,"99bcae1c-07ea-4fbc-a39b-7f342ef926dc",NA,NA,NA,NA
"1274",NA,NA,"preservedspecimen",NA,"juglans cinerea","cm034076","magnoliopsida","botany","a3883acd-bc7d-40f2-a6e4-372a3435e5d1",NA,"kinzer, g.e.; jennings, o.e.",NA,"north america",210,"united states","usa","allegheny","7ddf754f-d193-4cc9-b351-99906754a03b","1903-05-02T00:00:00+00:00","2021-02-09T23:59:03.942712+00:00",0.304347826086957,NA,NA,NA,NA,NA,"42f2088af58a288fd05c02137ace975efd7a03fa","1903-05-02","juglandaceae",NA,NA,"juglans",NA,-79.851195,40.506411,NA,FALSE,FALSE,"plantae|magnoliophyta|eudicots|core eudicots|fabids|rosids|fagales|juglandaceae|juglans",NA,NA,NA,"cm",NA,NA,"plantae",NA,NA,NA,NA,NA,NA,"powers run",NA,NA,NA,NA,NA,NA,NA,"e6812e27-196b-44d2-bd16-3491271b42b0","fagales","tracheophyta",NA,"s.n.","db6c3db9-1e6d-4def-af29-33aa0339bfa9","juglans cinerea",NA,"cinerea",122,"pennsylvania","3054352","accepted","species",NA,"99c17792-edad-447d-9d2a-92519bb864fb","2 may 1903",NA,NA,NA
"1275",NA,NA,"fossilspecimen",NA,"juglans cinerea","ypm pb 004722","magnoliopsida","pb",NA,NA,NA,"butternut; hickories and walnuts; angiosperms; tracheophytes; plants",NA,NA,NA,NA,NA,"7ddf754f-d193-4cc9-b351-99906754a03b",NA,"2021-04-19T21:45:53.278807+00:00",0.144927536231884,NA,NA,NA,NA,NA,"a3e6cbf3efe53e603f628be60d75a7a2900ab4b9",NA,"juglandaceae",NA,NA,"juglans",NA,NA,NA,NA,FALSE,FALSE,"plantae; tracheophyta; rosidae; fagales; juglandaceae; juglandoideae",NA,1,NA,"ypm",NA,NA,"plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"urn:uuid:949af55b-a5b8-4adb-a434-9cdef9316b4a","fagales","tracheophyta",NA,NA,"7ae4d15d-62e2-459b-842a-446f921b9d3f","juglans cinerea",NA,"cinerea",NA,NA,"3054352","accepted","species",NA,"99f582ce-2bd4-4dc0-8658-7a263f3b009a",NA,NA,NA,NA
"1276",NA,NA,"preservedspecimen",NA,"juglans cinerea","pac0020516","magnoliopsida",NA,"512d3c7f-fb50-4ef3-b2fd-4e1847b513fc",NA,"charles k. swartz",NA,"north america",NA,"united states","usa","adams","7ddf754f-d193-4cc9-b351-99906754a03b","1890-05-03T00:00:00+00:00","2020-11-06T21:46:20.107938+00:00",0.246376811594203,NA,NA,NA,NA,NA,"23228c06a0dceaa14a7a9e7c004da0d1087205db","1890-05-03","juglandaceae",NA,NA,"juglans",NA,NA,NA,NA,TRUE,TRUE,"plantae|magnoliophyta|eudicots|core eudicots|fabids|rosids|fagales|juglandaceae|juglans",NA,NA,NA,"pac",NA,NA,"plantae",NA,NA,NA,NA,NA,NA,"gettysburg",NA,NA,NA,NA,NA,NA,NA,"20a789d1-aadd-4dbb-98aa-4a0c4ab36671","fagales","tracheophyta",NA,"s.n.","46c11153-2154-495d-89d2-7cdef6425cdb","juglans cinerea",NA,"cinerea",123,"pennsylvania","3054352","accepted","species",NA,"9a01f7ee-f95d-4a0b-aa71-b933bf7f846d",NA,NA,NA,NA
"1277",NA,NA,"preservedspecimen",NA,"juglans cinerea","ph00569434","magnoliopsida",NA,"019a3280-a69f-4312-bb30-8556e270f1a5",NA,NA,NA,"north america",NA,"united states","usa",NA,"7ddf754f-d193-4cc9-b351-99906754a03b",NA,"2020-11-06T21:42:11.998674+00:00",0.144927536231884,NA,NA,NA,NA,NA,"36b1419990cf0c8f3bb18bb6e23a81c1fa234ece",NA,"juglandaceae",NA,NA,"juglans",NA,NA,NA,NA,TRUE,TRUE,"plantae|magnoliophyta|eudicots|core eudicots|fabids|rosids|fagales|juglandaceae|juglans",NA,NA,NA,"ph",NA,NA,"plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fdde8640-1259-41ba-9c29-da02f0f39aba","fagales","tracheophyta",NA,NA,"65536dcd-7bb2-44e5-af3f-4a13f08e53d0","juglans cinerea",NA,"cinerea",NA,"pennsylvania","3054352","accepted","species",NA,"9a02b9cc-f64a-4d78-8fa0-268a8735893f",NA,NA,NA,NA
