"","Longitude","Latitude"
"1",-62.728187,45.833405
"2",-63.033333,45.033333
"3",-63.46725,44.786715
"4",-63.716392,44.796113
"5",-64.03249999,45.00000004
"6",-64.0325,45
"7",-64.165517,46.614276
"8",-64.223035,45.197674
"9",-64.32844,45.117347
"10",-64.36132,45.09271
"11",-64.533519,45.174269
"12",-64.96831,44.38167
"13",-65.160435,46.702836
"14",-65.31877,46.01288
"15",-65.31878,46.01289
"16",-65.31915,46.01357
"17",-65.31919,46.01356
"18",-65.31928,46.01513
"19",-65.3193,46.0138
"20",-65.31933,46.01372
"21",-65.3194,46.01412
"22",-65.31942,46.01396
"23",-65.31944,46.01391
"24",-65.31945,46.01378
"25",-65.31948,46.01305
"26",-65.31948,46.01323
"27",-65.31952,46.01376
"28",-65.31953,46.01322
"29",-65.31957,46.01388
"30",-65.31962,46.01329
"31",-65.31964,46.01468
"32",-65.32025,46.01272
"33",-65.32063,46.01387
"34",-65.32067,46.01323
"35",-65.32072,46.01294
"36",-65.32083,46.01393
"37",-65.32097,46.01353
"38",-65.32136,46.01378
"39",-65.32143,46.01388
"40",-65.32163,46.01392
"41",-65.32207,46.01352
"42",-65.32246,46.01182
"43",-65.32262,46.01208
"44",-65.32277,46.01175
"45",-65.32296,46.01157
"46",-65.32362,46.01154
"47",-65.32376,46.01226
"48",-65.3239,46.01134
"49",-65.32406,46.01204
"50",-65.35059,45.95345
"51",-65.39142,45.773113
"52",-65.431465,45.698371
"53",-65.432662,45.690751
"54",-65.44008,45.69513
"55",-65.44108,45.69573
"56",-65.44113,45.69643
"57",-65.44115,45.69608
"58",-65.44152,45.69785
"59",-65.44195,45.69697
"60",-65.44212,45.69723
"61",-65.4426,45.69753
"62",-65.44327,45.69808
"63",-65.44583,45.69658
"64",-65.446,45.69767
"65",-65.44623,45.698
"66",-65.44683,45.69842
"67",-65.44828,45.69875
"68",-65.44868,45.69893
"69",-65.44883,45.69812
"70",-65.44897,45.69917
"71",-65.449443,45.710038
"72",-65.44983,45.69878
"73",-65.463708,45.704914
"74",-65.47464,45.7115
"75",-65.47466,45.71169
"76",-65.47487,45.71189
"77",-65.4754,45.71318
"78",-65.47549,45.71281
"79",-65.47634,45.71558
"80",-65.47642,45.71539
"81",-65.4765,45.7154
"82",-65.47655,45.71789
"83",-65.47665,45.71779
"84",-65.47678,45.71579
"85",-65.495048,45.765895
"86",-65.50287,45.73407
"87",-65.50594,45.72493
"88",-65.50626,45.72485
"89",-65.50636,45.72479
"90",-65.50667,45.7247
"91",-65.507,45.72456
"92",-65.539571,45.6656
"93",-65.557611,45.707194
"94",-65.559137,45.670644
"95",-65.589426,45.693682
"96",-65.75,45.616667
"97",-65.81391,45.67894
"98",-65.81413,45.67896
"99",-65.81417,45.67921
"100",-65.81559,45.6669
"101",-65.86172,45.64826
"102",-65.86193,45.64833
"103",-65.8775,45.56496
"104",-65.87818,46.61801
"105",-65.88141,46.61545
"106",-65.8899,46.60793
"107",-65.88992,46.60815
"108",-65.89006,46.60801
